NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TBX21	1	12.915299415588379	0.024655698	Yes	
row_1	TLR8	12	12.102863311767578	0.047262933	Yes	
row_2	FCGR1BP	17	11.852256774902344	0.06972005	Yes	
row_3	FCGR3B	18	11.775976181030273	0.0922508	Yes	
row_4	BTN3A2	94	9.663435935974121	0.10662263	Yes	
row_5	FCGR3A	100	9.549310684204102	0.12461867	Yes	
row_6	PRF1	118	9.300997734069824	0.1414809	Yes	
row_7	SLAMF6	140	9.132132530212402	0.15780047	Yes	
row_8	CD8A	143	9.114038467407227	0.17512839	Yes	
row_9	MYO1G	164	8.965690612792969	0.19118439	Yes	
row_10	BTN3A3	175	8.88535213470459	0.20763563	Yes	
row_11	IL2RB	182	8.85799789428711	0.2242541	Yes	
row_12	FCER1G	200	8.668496131896973	0.23990618	Yes	
row_13	BATF	203	8.633627891540527	0.25631493	Yes	
row_14	FCGR1A	208	8.597878456115723	0.27254552	Yes	
row_15	LY9	227	8.41158390045166	0.28765115	Yes	
row_16	CD74	276	8.085564613342285	0.3004862	Yes	
row_17	EBI3	312	7.86825704574585	0.3136191	Yes	
row_18	IRF4	325	7.757648944854736	0.32780293	Yes	
row_19	FCGR2C	334	7.717867851257324	0.34213024	Yes	
row_20	STAT4	342	7.6548871994018555	0.35639194	Yes	
row_21	SPN	360	7.564629077911377	0.369932	Yes	
row_22	FCGR2A	371	7.514964580535889	0.3837613	Yes	
row_23	C1QC	392	7.313930988311768	0.39665702	Yes	
row_24	IGHD	438	7.06095027923584	0.40769637	Yes	
row_25	C1QB	439	7.06095027923584	0.42120597	Yes	
row_26	CSF2RB	449	6.956080436706543	0.43402085	Yes	
row_27	C1QA	472	6.884768486022949	0.44598567	Yes	
row_28	FCMR	480	6.804710865020752	0.45862076	Yes	
row_29	HLA-A	510	6.67292594909668	0.469796	Yes	
row_30	CD40LG	524	6.595555782318115	0.48170152	Yes	
row_31	IGHV3-21	591	6.388262748718262	0.49030107	Yes	
row_32	IGHV5-51	630	6.199972152709961	0.5000774	Yes	
row_33	IGHV3-11	663	6.060171604156494	0.5099156	Yes	
row_34	IGHV1-2	667	6.049181938171387	0.5213247	Yes	
row_35	FCGR2B	674	6.0404558181762695	0.5325524	Yes	
row_36	CARD9	713	5.8684611320495605	0.54169446	Yes	
row_37	IGHV4-59	731	5.792767524719238	0.5518445	Yes	
row_38	IGHV3-33	742	5.750285625457764	0.56229746	Yes	
row_39	IL18BP	751	5.7196478843688965	0.5728016	Yes	
row_40	IGHV1-69D	789	5.541976451873779	0.5813739	Yes	
row_41	CCR6	844	5.322004318237305	0.5885921	Yes	
row_42	IGHV3-30	865	5.266363143920898	0.59757024	Yes	
row_43	IGHV3-23	963	4.933809757232666	0.60168535	Yes	
row_44	IGHV3-7	977	4.883306980133057	0.61031485	Yes	
row_45	IGHV1-18	987	4.853163242340088	0.6191063	Yes	
row_46	RFTN1	1031	4.7654032707214355	0.6258634	Yes	
row_47	IGHG4	1048	4.719864368438721	0.6340155	Yes	
row_48	IGHV3-48	1050	4.712488174438477	0.64297694	Yes	
row_49	IGHG3	1093	4.627211570739746	0.64952457	Yes	
row_50	TLR4	1113	4.575882911682129	0.6572365	Yes	
row_51	IGHV3-74	1152	4.4849042892456055	0.66373146	Yes	
row_52	C1R	1158	4.469188690185547	0.6720078	Yes	
row_53	HLA-DRB1	1161	4.467922210693359	0.6804464	Yes	
row_54	IGHV4-34	1177	4.436436653137207	0.6881111	Yes	
row_55	IGHV4-39	1194	4.377521991729736	0.69560826	Yes	
row_56	CD19	1228	4.310536861419678	0.702044	Yes	
row_57	IGHG2	1272	4.218703269958496	0.70775515	Yes	
row_58	IGKC	1290	4.189626693725586	0.7148379	Yes	
row_59	SLA2	1331	4.096462726593018	0.72047985	Yes	
row_60	IGHG1	1363	4.032596588134766	0.7264936	Yes	
row_61	IGLC1	1401	3.975592613220215	0.73206896	Yes	
row_62	IGLL5	1403	3.969942331314087	0.73960966	Yes	
row_63	EXOSC6	1406	3.956273317337036	0.74706936	Yes	
row_64	IGHV2-5	1516	3.7711832523345947	0.74830127	Yes	
row_65	MEF2C	1546	3.7254786491394043	0.7538372	Yes	
