NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IGKV1D-39	393	7.307272434234619	0.0073173563	Yes	
row_1	LYN	395	7.305604934692383	0.036074683	Yes	
row_2	IGHD	438	7.06095027923584	0.061624	Yes	
row_3	IGKV1-39	443	7.001875400543213	0.08901934	Yes	
row_4	CD79A	485	6.790514945983887	0.113556825	Yes	
row_5	IGKV1-33	561	6.465994834899902	0.13495429	Yes	
row_6	IGKV3-15	562	6.464252948760986	0.16044818	Yes	
row_7	PTPN6	594	6.376487731933594	0.18389991	Yes	
row_8	IGLV1-47	614	6.271987438201904	0.20759605	Yes	
row_9	IGLV3-21	635	6.164523601531982	0.23081364	Yes	
row_10	IGHV3-11	663	6.060171604156494	0.2532367	Yes	
row_11	IGHV1-2	667	6.049181938171387	0.2769295	Yes	
row_12	IGHV4-59	731	5.792767524719238	0.29632843	Yes	
row_13	IGHV3-33	742	5.750285625457764	0.31845945	Yes	
row_14	IGLV1-44	743	5.747685432434082	0.3411273	Yes	
row_15	IGLV2-11	785	5.591971397399902	0.36093795	Yes	
row_16	IGLV2-8	803	5.470800876617432	0.38158375	Yes	
row_17	IGKV1D-33	806	5.459993362426758	0.4030076	Yes	
row_18	IGKV3D-20	820	5.389137268066406	0.4235502	Yes	
row_19	IGHV3-30	865	5.266363143920898	0.44191253	Yes	
row_20	IGLV3-19	888	5.156337261199951	0.4610446	Yes	
row_21	IGLV1-40	937	4.991975784301758	0.478106	Yes	
row_22	IGHV3-23	963	4.933809757232666	0.4961963	Yes	
row_23	IGKV1-12	973	4.904511451721191	0.5150465	Yes	
row_24	IGHV3-7	977	4.883306980133057	0.53414124	Yes	
row_25	IGKV3-11	984	4.865407466888428	0.5530013	Yes	
row_26	IGHV3-48	1050	4.712488174438477	0.56803036	Yes	
row_27	IGLV3-1	1070	4.683426380157471	0.58546144	Yes	
row_28	IGKV4-1	1091	4.629783630371094	0.6026263	Yes	
row_29	IGKV2D-28	1105	4.593753814697266	0.6200321	Yes	
row_30	IGKV3-20	1117	4.5576090812683105	0.6374046	Yes	
row_31	IGKV2-28	1135	4.526049613952637	0.65432453	Yes	
row_32	IGKV2-30	1137	4.522315979003906	0.672105	Yes	
row_33	IGHV4-34	1177	4.436436653137207	0.6874679	Yes	
row_34	IGHV4-39	1194	4.377521991729736	0.7038567	Yes	
row_35	IGLV2-14	1247	4.27230978012085	0.717861	Yes	
row_36	IGKC	1290	4.189626693725586	0.7320863	Yes	
row_37	IGKV1-17	1345	4.069443225860596	0.7451811	Yes	
row_38	IGLC1	1401	3.975592613220215	0.75785106	Yes	
row_39	IGHV2-5	1516	3.7711832523345947	0.76648694	Yes	
row_40	IGLV2-23	1523	3.7588534355163574	0.780983	Yes	
row_41	IGLC3	1569	3.6984522342681885	0.79310703	Yes	
row_42	IGLC2	1594	3.667435646057129	0.8062577	Yes	
row_43	IGKV1-5	1614	3.6425652503967285	0.81958383	Yes	
row_44	IGKV2D-30	1916	3.3148016929626465	0.816189	Yes	
row_45	IGLV3-25	1917	3.3148016929626465	0.82926196	Yes	
row_46	IGLC6	1978	3.2709853649139404	0.8388795	Yes	
row_47	CD79B	2196	3.074608087539673	0.8391331	Yes	
row_48	IGHV1-46	2951	2.5747694969177246	0.80803573	No	
row_49	CD22	3301	2.4117844104766846	0.7984534	No	
row_50	IGLV6-57	4088	2.0861012935638428	0.7636781	No	
row_51	IGHM	4359	1.9892268180847168	0.7567514	No	
row_52	IGLV1-51	4561	1.9157909154891968	0.75331014	No	
