NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FCN1	363	7.560994625091553	0.007204049	Yes	
row_1	C1QC	392	7.313930988311768	0.03185857	Yes	
row_2	IGKV1D-39	393	7.307272434234619	0.058021735	Yes	
row_3	C1QB	439	7.06095027923584	0.08084004	Yes	
row_4	IGKV1-39	443	7.001875400543213	0.10574556	Yes	
row_5	C1QA	472	6.884768486022949	0.1288635	Yes	
row_6	IGKV1-33	561	6.465994834899902	0.14719816	Yes	
row_7	IGKV3-15	562	6.464252948760986	0.17034294	Yes	
row_8	IGLV1-47	614	6.271987438201904	0.19000803	Yes	
row_9	IGLV3-21	635	6.164523601531982	0.21098503	Yes	
row_10	IGHV3-11	663	6.060171604156494	0.2312053	Yes	
row_11	IGHV1-2	667	6.049181938171387	0.25269976	Yes	
row_12	IGHV4-59	731	5.792767524719238	0.26999226	Yes	
row_13	IGHV3-33	742	5.750285625457764	0.29003343	Yes	
row_14	IGLV1-44	743	5.747685432434082	0.31061262	Yes	
row_15	C1S	764	5.670397758483887	0.32982042	Yes	
row_16	IGLV2-11	785	5.591971397399902	0.34874746	Yes	
row_17	IGLV2-8	803	5.470800876617432	0.36740482	Yes	
row_18	IGKV1D-33	806	5.459993362426758	0.3868445	Yes	
row_19	IGKV3D-20	820	5.389137268066406	0.40542838	Yes	
row_20	IGHV3-30	865	5.266363143920898	0.421876	Yes	
row_21	IGLV3-19	888	5.156337261199951	0.43913382	Yes	
row_22	IGLV1-40	937	4.991975784301758	0.45438012	Yes	
row_23	IGHV3-23	963	4.933809757232666	0.470677	Yes	
row_24	IGKV1-12	973	4.904511451721191	0.48774466	Yes	
row_25	IGHV3-7	977	4.883306980133057	0.5050648	Yes	
row_26	IGKV3-11	984	4.865407466888428	0.52215666	Yes	
row_27	IGHG4	1048	4.719864368438721	0.5356077	Yes	
row_28	IGHV3-48	1050	4.712488174438477	0.5524257	Yes	
row_29	IGLV3-1	1070	4.683426380157471	0.56815445	Yes	
row_30	IGKV4-1	1091	4.629783630371094	0.58363646	Yes	
row_31	IGHG3	1093	4.627211570739746	0.6001491	Yes	
row_32	IGKV2D-28	1105	4.593753814697266	0.61599463	Yes	
row_33	IGKV3-20	1117	4.5576090812683105	0.6317108	Yes	
row_34	IGKV2-28	1135	4.526049613952637	0.6469856	Yes	
row_35	IGKV2-30	1137	4.522315979003906	0.66312265	Yes	
row_36	C1R	1158	4.469188690185547	0.67802966	Yes	
row_37	IGHV4-34	1177	4.436436653137207	0.6929288	Yes	
row_38	IGHV4-39	1194	4.377521991729736	0.70772654	Yes	
row_39	IGLV2-14	1247	4.27230978012085	0.7201772	Yes	
row_40	IGHG2	1272	4.218703269958496	0.7339684	Yes	
row_41	IGKC	1290	4.189626693725586	0.7480386	Yes	
row_42	IGKV1-17	1345	4.069443225860596	0.75965345	Yes	
row_43	IGHG1	1363	4.032596588134766	0.7731614	Yes	
row_44	IGLC1	1401	3.975592613220215	0.7853707	Yes	
row_45	IGHV2-5	1516	3.7711832523345947	0.7926338	Yes	
row_46	IGLV2-23	1523	3.7588534355163574	0.80576366	Yes	
row_47	IGLC3	1569	3.6984522342681885	0.8165428	Yes	
row_48	IGLC2	1594	3.667435646057129	0.8283602	Yes	
row_49	IGKV1-5	1614	3.6425652503967285	0.84036225	Yes	
row_50	IGKV2D-30	1916	3.3148016929626465	0.8357565	Yes	
row_51	IGLV3-25	1917	3.3148016929626465	0.8476249	Yes	
row_52	IGLC6	1978	3.2709853649139404	0.8560525	Yes	
row_53	IGHV1-46	2951	2.5747694969177246	0.8120722	No	
row_54	IGLV6-57	4088	2.0861012935638428	0.75736636	No	
row_55	IGLV1-51	4561	1.9157909154891968	0.7383924	No	
row_56	COLEC10	5431	1.6510101556777954	0.696742	No	
row_57	MASP1	11636	0.32884159684181213	0.3583649	No	
row_58	COLEC11	16266	-0.4783257842063904	0.106725216	No	
row_59	FCN3	17950	-1.7277555465698242	0.020798134	No	
