NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EEF1A2	1053	4.709680080413818	0.07723202	No	
row_1	RPL22L1	4543	1.9225082397460938	-0.058949605	No	
row_2	RPL39L	5755	1.5743308067321777	-0.08022498	No	
row_3	RPL10	7670	1.0934985876083374	-0.15381849	Yes	
row_4	RPS2	7925	1.0325143337249756	-0.13815576	Yes	
row_5	RPL5	8008	1.0135856866836548	-0.11360613	Yes	
row_6	RPL22	8745	0.8604810833930969	-0.12929712	Yes	
row_7	RPL39	8888	0.8294549584388733	-0.11331318	Yes	
row_8	RPS3	8997	0.8083704113960266	-0.0960695	Yes	
row_9	RPL36A	9251	0.7609743475914001	-0.08813311	Yes	
row_10	RPL12	9695	0.6713651418685913	-0.093180634	Yes	
row_11	RPL21	9706	0.6686752438545227	-0.074567504	Yes	
row_12	RPS3A	9821	0.646142840385437	-0.062301494	Yes	
row_13	RPS12	10062	0.6014924645423889	-0.058222484	Yes	
row_14	RPL15	10287	0.5594714879989624	-0.054470476	Yes	
row_15	RPS27A	10388	0.5406602621078491	-0.044459637	Yes	
row_16	RPS27	10419	0.5369093418121338	-0.03071878	Yes	
row_17	RPL35A	10844	0.4651400148868561	-0.040634215	Yes	
row_18	RPS19	10860	0.4615398943424225	-0.028230794	Yes	
row_19	RPS15A	10923	0.4510135352611542	-0.018705629	Yes	
row_20	RPS4Y1	10967	0.44448229670524597	-0.00832601	Yes	
row_21	RPS25	10978	0.4428205192089081	0.0038151008	Yes	
row_22	RPS8	10989	0.44200363755226135	0.015932804	Yes	
row_23	RPS18	11114	0.4227433502674103	0.021248931	Yes	
row_24	RPSA	11298	0.38756248354911804	0.022322455	Yes	
row_25	RPL10A	11385	0.37022972106933594	0.028216988	Yes	
row_26	RPS13	11404	0.3676455318927765	0.037765335	Yes	
row_27	RPL7	11553	0.344157338142395	0.03951381	Yes	
row_28	RPS23	11707	0.31567099690437317	0.04017188	Yes	
row_29	RPL38	11749	0.30906838178634644	0.046780765	Yes	
row_30	RPLP0	11812	0.2967594861984253	0.051885676	Yes	
row_31	EEF1B2	11815	0.29644596576690674	0.060270894	Yes	
row_32	RPL34	11962	0.2716800570487976	0.060052127	Yes	
row_33	RPL13	12132	0.2478007972240448	0.057888184	Yes	
row_34	RPL36AL	12147	0.2461436241865158	0.06417409	Yes	
row_35	RPL17	12187	0.241303488612175	0.06895077	Yes	
row_36	RPL37	12265	0.2282584011554718	0.07127041	Yes	
row_37	RPL11	12388	0.20908941328525543	0.070573784	Yes	
row_38	RPL4	12420	0.20301592350006104	0.07469188	Yes	
row_39	RPS24	12421	0.20301592350006104	0.08050944	Yes	
row_40	RPS6	12469	0.196064293384552	0.08355118	Yes	
row_41	RPL27A	12479	0.19478455185890198	0.088639475	Yes	
