NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD302	899	5.0895795822143555	-0.026672436	No	
row_1	IFNGR1	907	5.064889907836914	-0.004382402	No	
row_2	ME1	1306	4.16030216217041	-0.0076528406	No	
row_3	YWHAG	1325	4.11317253112793	0.009771264	No	
row_4	NABP1	1350	4.062203407287598	0.026637096	No	
row_5	UCP2	1717	3.5382134914398193	0.022342078	No	
row_6	ABCA1	1726	3.5220024585723877	0.037669707	No	
row_7	TANK	1785	3.4642388820648193	0.049988	No	
row_8	PPM1B	1857	3.383190870285034	0.06122826	No	
row_9	UBQLN1	1881	3.3491263389587402	0.074956715	No	
row_10	RNF11	1945	3.296564817428589	0.08624927	No	
row_11	STOM	2116	3.141462802886963	0.09096089	No	
row_12	COL4A1	2180	3.0879967212677	0.1013197	No	
row_13	CMPK1	2371	2.9295685291290283	0.10398239	No	
row_14	SLC66A3	2393	2.912907361984253	0.11586796	No	
row_15	SSPN	2492	2.8453497886657715	0.123214945	No	
row_16	ESYT1	2581	2.7824931144714355	0.13083068	No	
row_17	CAVIN1	2598	2.768111228942871	0.14234307	No	
row_18	BCL6	2745	2.6839020252227783	0.14632657	No	
row_19	ATP1B3	2991	2.55431866645813	0.1442835	No	
row_20	LTC4S	3149	2.483828544616699	0.14676613	No	
row_21	NKIRAS1	3344	2.3930888175964355	0.14680697	No	
row_22	PPP1R15B	3498	2.324326515197754	0.14879559	No	
row_23	G3BP2	3616	2.2836222648620605	0.15258248	No	
row_24	LAMA4	3769	2.237431764602661	0.15423709	No	
row_25	RIOK3	3806	2.2207844257354736	0.16219884	No	
row_26	DRAM2	3899	2.1755847930908203	0.16687743	No	
row_27	CAVIN2	3985	2.1249899864196777	0.17171462	No	
row_28	HSPB8	4683	1.8808526992797852	0.1417899	No	
row_29	ANGPT1	4734	1.8632436990737915	0.14738077	No	
row_30	SQOR	4738	1.8628164529800415	0.15555541	No	
row_31	CCNG2	4807	1.840670108795166	0.16005497	No	
row_32	MGLL	4880	1.818741798400879	0.16423629	No	
row_33	OMD	5378	1.6725901365280151	0.1443821	No	
row_34	SOWAHC	5684	1.592133641242981	0.13473053	No	
row_35	GPAT4	5910	1.5362147092819214	0.12922977	No	
row_36	SLC5A6	6096	1.4839247465133667	0.1256955	No	
row_37	BAZ2A	6342	1.4137239456176758	0.118546054	No	
row_38	DNAJB9	6344	1.4132188558578491	0.124817915	No	
row_39	MYLK	6385	1.404410481452942	0.12890477	No	
row_40	FABP4	6442	1.388129472732544	0.1320385	No	
row_41	GPD2	6554	1.3631037473678589	0.1320344	No	
row_42	PTCD3	6708	1.325592279434204	0.12955175	No	
row_43	CHUK	6996	1.2531063556671143	0.119372636	No	
row_44	NMT1	7107	1.2253894805908203	0.11880701	No	
row_45	CDKN2C	7218	1.2028361558914185	0.118140414	No	
row_46	RAB34	7656	1.095794677734375	0.099004835	No	
row_47	REEP5	7763	1.0680418014526367	0.09795483	No	
row_48	ARL4A	7766	1.0666282176971436	0.10262002	No	
row_49	RREB1	8012	1.0122253894805908	0.0936731	No	
row_50	RTN3	8246	0.9638271927833557	0.08516969	No	
row_51	UBC	8292	0.9520143866539001	0.086956136	No	
row_52	DNAJC15	8380	0.9351294040679932	0.08635637	No	
row_53	ELMOD3	8541	0.9060431122779846	0.08161032	No	
row_54	MRAP	8542	0.9055595993995667	0.08566445	No	
row_55	GPAM	8632	0.8868775367736816	0.084738635	No	
row_56	ELOVL6	8853	0.8390750288963318	0.076391906	No	
row_57	SNCG	9236	0.7644014358520508	0.058798503	No	
row_58	IDH3A	9357	0.7399476170539856	0.055509444	No	
row_59	ADIPOR2	9540	0.7008885741233826	0.04863462	No	
row_60	CD36	10226	0.5685254335403442	0.013494878	No	
row_61	SPARCL1	10356	0.5473984479904175	0.00884866	No	
row_62	LPCAT3	10664	0.4959859848022461	-0.0058203232	No	
row_63	PIM3	10974	0.44332000613212585	-0.020835117	No	
row_64	SLC19A1	11023	0.43537983298301697	-0.021526653	No	
row_65	RMDN3	11294	0.38813626766204834	-0.03464293	No	
row_66	TOB1	11475	0.3538344204425812	-0.042961467	No	
row_67	FZD4	11484	0.35279926657676697	-0.041822128	No	
row_68	ACOX1	12485	0.193925678730011	-0.095968515	No	
row_69	CD151	12661	0.16761013865470886	-0.10484569	No	
row_70	ENPP2	12804	0.1431466042995453	-0.1120169	No	
row_71	AK2	12819	0.14162223041057587	-0.11215307	No	
row_72	SLC27A1	12850	0.1373818963766098	-0.11318846	No	
row_73	ADCY6	13112	0.10097501426935196	-0.12709521	No	
row_74	GPHN	13135	0.09837504476308823	-0.1278651	No	
