NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL12RB1	10	12.141490936279297	0.013980833	Yes	
row_1	CCL4	13	12.045753479003906	0.028287036	Yes	
row_2	IL18RAP	15	11.919869422912598	0.042497575	Yes	
row_3	CRTAM	31	11.259866714477539	0.055148326	Yes	
row_4	IGSF6	32	11.216336250305176	0.06857188	Yes	
row_5	CTSS	51	10.48068618774414	0.08012514	Yes	
row_6	TNF	54	10.449982643127441	0.09252155	Yes	
row_7	HLA-DRA	65	10.298373222351074	0.104296565	Yes	
row_8	CD3G	71	10.134791374206543	0.116150774	Yes	
row_9	ST8SIA4	78	9.928975105285645	0.12770367	Yes	
row_10	IL1B	89	9.802396774291992	0.13888511	Yes	
row_11	GBP2	98	9.61417293548584	0.14995126	Yes	
row_12	LCP2	101	9.549310684204102	0.16126977	Yes	
row_13	GPR65	109	9.432788848876953	0.17217384	Yes	
row_14	CD247	110	9.418869018554688	0.18344621	Yes	
row_15	CCL13	117	9.303884506225586	0.19425102	Yes	
row_16	PRF1	118	9.300997734069824	0.20538232	Yes	
row_17	B2M	126	9.209643363952637	0.21601933	Yes	
row_18	LY86	131	9.17937183380127	0.22678511	Yes	
row_19	CD8A	143	9.114038467407227	0.23708773	Yes	
row_20	HLA-DMA	152	9.060134887695312	0.24749082	Yes	
row_21	IL7	165	8.952604293823242	0.25754526	Yes	
row_22	SIT1	171	8.908820152282715	0.26793224	Yes	
row_23	CD96	172	8.907315254211426	0.2785924	Yes	
row_24	KLRD1	176	8.874618530273438	0.28904843	Yes	
row_25	IL2RB	182	8.85799789428711	0.2993746	Yes	
row_26	HLA-DOB	184	8.845440864562988	0.3099057	Yes	
row_27	TAP2	186	8.794349670410156	0.32037568	Yes	
row_28	GZMA	192	8.724982261657715	0.33054262	Yes	
row_29	HLA-E	198	8.680892944335938	0.34065685	Yes	
row_30	CD7	211	8.577285766601562	0.3502621	Yes	
row_31	PTPRC	222	8.467007637023926	0.35984537	Yes	
row_32	FAS	230	8.378191947937012	0.36948732	Yes	
row_33	CFP	245	8.266561508178711	0.3786107	Yes	
row_34	SPI1	250	8.229142189025879	0.38823926	Yes	
row_35	IL2RA	251	8.22802448272705	0.39808643	Yes	
row_36	WAS	255	8.209911346435547	0.40774697	Yes	
row_37	TRAT1	262	8.182809829711914	0.41721007	Yes	
row_38	CCR5	263	8.177221298217773	0.42699647	Yes	
row_39	CD1D	274	8.117042541503906	0.4361609	Yes	
row_40	HLA-DOA	275	8.102164268493652	0.44585747	Yes	
row_41	CD74	276	8.085564613342285	0.45553413	Yes	
row_42	CD3D	293	7.958776473999023	0.4641792	Yes	
row_43	TAP1	299	7.941450119018555	0.47340846	Yes	
row_44	ITK	308	7.905739784240723	0.48242998	Yes	
row_45	IRF4	325	7.757648944854736	0.49083433	Yes	
row_46	STAT4	342	7.6548871994018555	0.4991157	Yes	
row_47	NLRP3	347	7.640892505645752	0.50804025	Yes	
row_48	FYB1	348	7.640892505645752	0.51718473	Yes	
row_49	CD40	355	7.592649459838867	0.52594155	Yes	
row_50	HCLS1	356	7.587377548217773	0.535022	Yes	
row_51	HLA-DMB	379	7.47007942199707	0.54275227	Yes	
row_52	NCF4	391	7.325449466705322	0.55091435	Yes	
row_53	LYN	395	7.305604934692383	0.5594926	Yes	
row_54	CXCL9	419	7.182583332061768	0.5668238	Yes	
row_55	IL2RG	433	7.109402656555176	0.57461727	Yes	
row_56	MAP4K1	448	6.962357997894287	0.58217984	Yes	
