NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TCIRG1	2941	2.5783722400665283	-0.14763941	No	
row_1	HCCS	2955	2.5720648765563965	-0.1342396	No	
row_2	ATP6V1C1	3651	2.273786783218384	-0.15999457	No	
row_3	MTRR	4379	1.9814555644989014	-0.18911415	No	
row_4	RHOT1	6705	1.3260087966918945	-0.30973914	No	
row_5	OPA1	7524	1.1271153688430786	-0.34855324	No	
row_6	TOMM70	7623	1.1029067039489746	-0.34789184	No	
row_7	MTRF1	7684	1.091119647026062	-0.3452047	No	
row_8	ABCB7	8260	0.9617018699645996	-0.37155873	No	
row_9	ATP6V1G1	8367	0.9371225833892822	-0.37224722	No	
row_10	BAX	9184	0.7722932696342468	-0.41289845	No	
row_11	FXN	9314	0.7490396499633789	-0.41588438	No	
row_12	IDH3A	9357	0.7399476170539856	-0.41413417	No	
row_13	PDK4	10387	0.5406602621078491	-0.46777403	No	
row_14	SLC25A12	10829	0.46810847520828247	-0.48946524	No	
row_15	COX11	10935	0.44858476519584656	-0.49277973	No	
row_16	CPT1A	11086	0.42568710446357727	-0.49869537	No	
row_17	MRPS30	11534	0.34673523902893066	-0.52138275	No	
row_18	TIMM9	11779	0.3039489984512329	-0.53313756	No	
row_19	HTRA2	12111	0.25221243500709534	-0.5499623	No	
row_20	LRPPRC	12453	0.1977613866329193	-0.56763595	No	
row_21	VDAC3	12550	0.1848972737789154	-0.5719024	No	
row_22	CYB5R3	13239	0.08676242083311081	-0.6092742	No	
row_23	TIMM17A	13465	0.05602286756038666	-0.6213443	No	
row_24	MFN2	13481	0.053020987659692764	-0.62187856	No	
row_25	PDHX	13506	0.05001482740044594	-0.6229243	No	
row_26	CS	13632	0.03251206502318382	-0.6296224	No	
row_27	DLAT	13704	0.02469557709991932	-0.6333927	No	
row_28	ATP6V0E1	13925	0.0017685689963400364	-0.6454855	No	
row_29	ALAS1	14046	-0.011031590402126312	-0.65202636	No	
row_30	COX10	14204	-0.026589825749397278	-0.6605173	No	
row_31	RHOT2	14490	-0.06869734823703766	-0.67581856	No	
row_32	ACADM	14718	-0.10154443234205246	-0.6877489	No	
row_33	MRPL35	14725	-0.10323277860879898	-0.68751246	No	
row_34	MRPS22	14734	-0.10523830354213715	-0.687375	No	
row_35	MTX2	14790	-0.1141761764883995	-0.6897741	No	
row_36	ISCU	14905	-0.13495118916034698	-0.6953048	No	
row_37	ISCA1	15136	-0.1745259165763855	-0.7069997	No	
row_38	GLUD1	15186	-0.18871688842773438	-0.70865965	No	
row_39	NDUFS1	15223	-0.19611527025699615	-0.70956385	No	
row_40	MRPL11	15230	-0.1968860626220703	-0.7088134	No	
row_41	OXA1L	15236	-0.19762305915355682	-0.70800394	No	
row_42	RETSAT	15249	-0.19899338483810425	-0.70757204	No	
row_43	ATP1B1	15398	-0.22914959490299225	-0.71445626	No	
row_44	PRDX3	15451	-0.2391451895236969	-0.7160045	No	
row_45	NNT	15490	-0.24703560769557953	-0.71673924	No	
row_46	BDH2	15588	-0.2719513177871704	-0.72058296	No	
row_47	ACADVL	15779	-0.32341790199279785	-0.72926027	No	
row_48	FDX1	15799	-0.3287961184978485	-0.72850114	No	
row_49	TIMM50	15880	-0.35333043336868286	-0.73096305	No	
row_50	CYCS	15882	-0.3534075915813446	-0.72907865	No	
row_51	AIFM1	16151	-0.43970754742622375	-0.7414087	No	
row_52	COX7A2L	16173	-0.4470365345478058	-0.7401107	No	
row_53	SLC25A20	16199	-0.4535374045372009	-0.7389971	No	
row_54	ATP6V1E1	16284	-0.4857356548309326	-0.74095243	No	
row_55	GOT2	16374	-0.5155511498451233	-0.7430192	Yes	
row_56	SDHC	16387	-0.5205659866333008	-0.7408226	Yes	
row_57	NDUFB5	16450	-0.5409125089645386	-0.74126494	Yes	
row_58	ETFDH	16457	-0.5420844554901123	-0.73862016	Yes	
row_59	NDUFA5	16524	-0.5667247772216797	-0.73914087	Yes	
row_60	SDHD	16538	-0.5718660354614258	-0.7367177	Yes	
row_61	ATP6V0C	16579	-0.5919699668884277	-0.73566955	Yes	
row_62	POLR2F	16705	-0.6454259753227234	-0.7390041	Yes	
row_63	MGST3	16709	-0.6466436982154846	-0.73562044	Yes	
row_64	ECHS1	16715	-0.6501032710075378	-0.7323279	Yes	
row_65	PHB2	16780	-0.6779310703277588	-0.73212826	Yes	
row_66	ATP5ME	16824	-0.7004728317260742	-0.7306497	Yes	
row_67	NDUFB4	16919	-0.7563404440879822	-0.73167014	Yes	
row_68	MRPL15	16930	-0.7616198658943176	-0.7280407	Yes	
row_69	NDUFS4	16940	-0.7667967677116394	-0.72432774	Yes	
row_70	PHYH	16950	-0.7736281752586365	-0.72057736	Yes	
row_71	DLD	16959	-0.7767595648765564	-0.71675473	Yes	
row_72	NDUFB3	16963	-0.7791810035705566	-0.7126438	Yes	
row_73	ATP5F1E	16985	-0.7887709736824036	-0.70947045	Yes	
row_74	NDUFAB1	16986	-0.7891775369644165	-0.7051396	Yes	
row_75	DECR1	16992	-0.7933244109153748	-0.70106107	Yes	
row_76	PDHA1	17043	-0.822409451007843	-0.69929844	Yes	
row_77	ETFA	17045	-0.8264936804771423	-0.6948178	Yes	
row_78	ACADSB	17060	-0.8375223278999329	-0.6909918	Yes	
row_79	IMMT	17091	-0.8537153005599976	-0.68795717	Yes	
row_80	NQO2	17125	-0.8723784685134888	-0.6849851	Yes	
row_81	COX17	17131	-0.8782349228858948	-0.6804406	Yes	
row_82	ATP6V1D	17172	-0.8966518044471741	-0.6777204	Yes	
row_83	NDUFV2	17205	-0.9198659062385559	-0.67443275	Yes	
row_84	ATP5MF	17303	-0.9745742082595825	-0.67442065	Yes	
row_85	UQCRB	17378	-1.0284878015518188	-0.67284733	Yes	
row_86	NDUFC2	17425	-1.081351637840271	-0.66944367	Yes	
row_87	PMPCA	17456	-1.1017290353775024	-0.66504794	Yes	
row_88	COX5A	17470	-1.1124528646469116	-0.6596582	Yes	
row_89	NDUFC1	17504	-1.141251802444458	-0.6552106	Yes	
row_90	ATP6V1F	17526	-1.1571491956710815	-0.65001565	Yes	
row_91	SUCLG1	17545	-1.1783045530319214	-0.6445396	Yes	
row_92	TIMM8B	17550	-1.1846460103988647	-0.6382586	Yes	
row_93	GRPEL1	17571	-1.2093292474746704	-0.63272226	Yes	
row_94	HADHB	17575	-1.2150465250015259	-0.62621933	Yes	
row_95	TIMM10	17579	-1.2195943593978882	-0.6196915	Yes	
row_96	GPX4	17587	-1.2234265804290771	-0.61336267	Yes	
row_97	NDUFA2	17650	-1.2901557683944702	-0.6096933	Yes	
row_98	NDUFA6	17652	-1.2914193868637085	-0.60266125	Yes	
row_99	NDUFB1	17672	-1.3159228563308716	-0.59648496	Yes	
row_100	POR	17706	-1.3579249382019043	-0.5908483	Yes	
row_101	SURF1	17707	-1.358176589012146	-0.58339494	Yes	
row_102	OGDH	17723	-1.376084327697754	-0.5766685	Yes	
row_103	ATP6V0B	17730	-1.3812180757522583	-0.5694187	Yes	
row_104	UQCRQ	17755	-1.4199731349945068	-0.5629465	Yes	
row_105	MRPL34	17802	-1.4775997400283813	-0.5573682	Yes	
row_106	FH	17809	-1.4861187934875488	-0.5495428	Yes	
row_107	NDUFA9	17820	-1.5031641721725464	-0.5418439	Yes	
row_108	MRPS15	17845	-1.5369131565093994	-0.5347299	Yes	
row_109	ATP5MC2	17851	-1.5475049018859863	-0.52651256	Yes	
row_110	ATP5MG	17852	-1.5475941896438599	-0.5180197	Yes	
row_111	COX7A2	17886	-1.609594464302063	-0.51100194	Yes	
row_112	LDHB	17901	-1.6305474042892456	-0.502824	Yes	
row_113	ACO2	17902	-1.632296085357666	-0.49386632	Yes	
row_114	NDUFB2	17916	-1.6576520204544067	-0.48548463	Yes	
row_115	ATP5F1D	17939	-1.700678825378418	-0.47736192	Yes	
row_116	COX7C	17945	-1.713739275932312	-0.46823233	Yes	
row_117	SDHB	17946	-1.7180801630020142	-0.45880386	Yes	
row_118	NDUFA4	17982	-1.7887789011001587	-0.45091283	Yes	
row_119	HSD17B10	17997	-1.8160532712936401	-0.44171688	Yes	
row_120	MRPS12	18013	-1.858256459236145	-0.43234432	Yes	
row_121	NDUFB6	18014	-1.8603531122207642	-0.42213508	Yes	
row_122	UQCRH	18026	-1.880515217781067	-0.41242036	Yes	
row_123	UQCR11	18032	-1.886152982711792	-0.40234458	Yes	
row_124	UQCR10	18040	-1.9043848514556885	-0.39227882	Yes	
row_125	ETFB	18060	-1.9515217542648315	-0.3826145	Yes	
row_126	UQCRFS1	18063	-1.9664044380187988	-0.3719333	Yes	
row_127	NDUFS6	18072	-1.9945988655090332	-0.36142746	Yes	
row_128	IDH3B	18083	-2.0222344398498535	-0.35087997	Yes	
row_129	COX8A	18085	-2.023794174194336	-0.33982882	Yes	
row_130	MPC1	18100	-2.08146071434021	-0.32917637	Yes	
row_131	COX7B	18119	-2.139129161834717	-0.31842747	Yes	
row_132	NDUFA3	18124	-2.154454469680786	-0.30682433	Yes	
row_133	TIMM13	18133	-2.1986641883850098	-0.29519862	Yes	
row_134	UQCRC2	18165	-2.2972891330718994	-0.28429693	Yes	
row_135	SLC25A6	18177	-2.3469061851501465	-0.27202272	Yes	
row_136	MDH2	18191	-2.3907594680786133	-0.2596179	Yes	
row_137	ATP5PO	18197	-2.4217913150787354	-0.24660268	Yes	
row_138	SLC25A4	18199	-2.442692279815674	-0.2332527	Yes	
row_139	SDHA	18200	-2.442700147628784	-0.21984768	Yes	
row_140	NDUFB8	18206	-2.461864948272705	-0.20661254	Yes	
row_141	ATP5MC3	18219	-2.6041054725646973	-0.1929819	Yes	
row_142	SLC25A11	18226	-2.6375677585601807	-0.17883755	Yes	
row_143	NDUFA7	18238	-2.7154552936553955	-0.16454083	Yes	
row_144	COX4I1	18252	-2.8267524242401123	-0.14974335	Yes	
row_145	NDUFS8	18258	-2.8925557136535645	-0.13414468	Yes	
row_146	NDUFS3	18259	-2.900494337081909	-0.11822737	Yes	
row_147	COX6B1	18286	-3.2162554264068604	-0.10200754	Yes	
row_148	SLC25A5	18291	-3.3098807334899902	-0.08406365	Yes	
row_149	COX6A1	18293	-3.4322714805603027	-0.065283075	Yes	
row_150	NDUFB7	18299	-3.5619468688964844	-0.04601092	Yes	
row_151	UQCRC1	18309	-3.9510512351989746	-0.024823483	Yes	
row_152	CYC1	18324	-4.7238688468933105	3.299564E-4	Yes	
