NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TLR8	12	12.102863311767578	0.03431979	Yes	
row_1	FCGR1BP	17	11.852256774902344	0.0683535	Yes	
row_2	FCGR3B	18	11.775976181030273	0.102385834	Yes	
row_3	FCGR3A	100	9.549310684204102	0.12554674	Yes	
row_4	IL2RB	182	8.85799789428711	0.14670977	Yes	
row_5	FCER1G	200	8.668496131896973	0.17083044	Yes	
row_6	BATF	203	8.633627891540527	0.19567192	Yes	
row_7	FCGR1A	208	8.597878456115723	0.22030054	Yes	
row_8	CD74	276	8.085564613342285	0.23999804	Yes	
row_9	FCGR2C	334	7.717867851257324	0.2591806	Yes	
row_10	FCGR2A	371	7.514964580535889	0.27892697	Yes	
row_11	C1QC	392	7.313930988311768	0.29896867	Yes	
row_12	IGHD	438	7.06095027923584	0.31691	Yes	
row_13	C1QB	439	7.06095027923584	0.337316	Yes	
row_14	CSF2RB	449	6.956080436706543	0.356926	Yes	
row_15	C1QA	472	6.884768486022949	0.3756179	Yes	
row_16	FCMR	480	6.804710865020752	0.3949	Yes	
row_17	CD40LG	524	6.595555782318115	0.4116059	Yes	
row_18	IGHV3-21	591	6.388262748718262	0.42645296	Yes	
row_19	IGHV5-51	630	6.199972152709961	0.4422895	Yes	
row_20	IGHV3-11	663	6.060171604156494	0.4580506	Yes	
row_21	IGHV1-2	667	6.049181938171387	0.47536832	Yes	
row_22	FCGR2B	674	6.0404558181762695	0.4924965	Yes	
row_23	CARD9	713	5.8684611320495605	0.50737494	Yes	
row_24	IGHV4-59	731	5.792767524719238	0.52318484	Yes	
row_25	IGHV3-33	742	5.750285625457764	0.5392553	Yes	
row_26	IGHV1-69D	789	5.541976451873779	0.5527521	Yes	
row_27	CCR6	844	5.322004318237305	0.565175	Yes	
row_28	IGHV3-30	865	5.266363143920898	0.5792993	Yes	
row_29	IGHV3-23	963	4.933809757232666	0.58824515	Yes	
row_30	IGHV3-7	977	4.883306980133057	0.60164577	Yes	
row_31	IGHV1-18	987	4.853163242340088	0.6151784	Yes	
row_32	IGHG4	1048	4.719864368438721	0.62553245	Yes	
row_33	IGHV3-48	1050	4.712488174438477	0.6390967	Yes	
row_34	IGHG3	1093	4.627211570739746	0.6501689	Yes	
row_35	IGHV3-74	1152	4.4849042892456055	0.6599535	Yes	
row_36	C1R	1158	4.469188690185547	0.6725955	Yes	
row_37	IGHV4-34	1177	4.436436653137207	0.68443084	Yes	
row_38	IGHV4-39	1194	4.377521991729736	0.69620544	Yes	
row_39	CD19	1228	4.310536861419678	0.7068554	Yes	
row_40	IGHG2	1272	4.218703269958496	0.7166922	Yes	
row_41	IGKC	1290	4.189626693725586	0.7278691	Yes	
row_42	IGHG1	1363	4.032596588134766	0.7355797	Yes	
row_43	IGLC1	1401	3.975592613220215	0.7450426	Yes	
row_44	IGLL5	1403	3.969942331314087	0.7564609	Yes	
row_45	EXOSC6	1406	3.956273317337036	0.7677849	Yes	
row_46	IGHV2-5	1516	3.7711832523345947	0.77271354	Yes	
row_47	IGLC3	1569	3.6984522342681885	0.78055394	Yes	
row_48	IGLC2	1594	3.667435646057129	0.78983825	Yes	
row_49	IGHV4-61	1610	3.6466238498687744	0.79955536	Yes	
row_50	IGHV3-15	1902	3.3248913288116455	0.793226	Yes	
row_51	IGHA1	1929	3.3085339069366455	0.8013636	Yes	
row_52	FCER1A	1943	3.2975635528564453	0.81018144	Yes	
row_53	IGLC6	1978	3.2709853649139404	0.8177723	Yes	
row_54	IGHA2	2327	2.9593124389648438	0.80726457	No	
row_55	SANBR	2931	2.5822110176086426	0.7817005	No	
row_56	IGHV1-46	2951	2.5747694969177246	0.7881009	No	
row_57	EXOSC3	3233	2.43825364112854	0.77975684	No	
row_58	PCYT1A	3357	2.3871586322784424	0.77991897	No	
row_59	CD27	3376	2.376817226409912	0.785802	No	
row_60	RNF168	3641	2.2741172313690186	0.77791476	No	
row_61	MSH6	4310	2.004774808883667	0.7471218	No	
row_62	LIG4	4637	1.8980004787445068	0.7347518	No	
row_63	MSH2	5258	1.7029155492782593	0.7057155	No	
row_64	SHLD3	5843	1.5528721809387207	0.6782173	No	
row_65	RNF8	8605	0.8932862877845764	0.5295775	No	
row_66	CD81	12033	0.26232606172561646	0.34263703	No	
row_67	ZP3	12533	0.18808449804782867	0.3158501	No	
row_68	SHLD1	12933	0.12284504622220993	0.2943517	No	
row_69	SHLD2	13148	0.09636600315570831	0.2829093	No	
row_70	FCRLB	13733	0.022127263247966766	0.2509873	No	
row_71	MAD2L2	14651	-0.09134954959154129	0.20102671	No	
row_72	HSPD1	14982	-0.1450796276330948	0.18337172	No	
