NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SOD2	971	4.912174224853516	-0.012506344	No	
row_1	MEF2C	1546	3.7254786491394043	-0.013087075	No	
row_2	HELZ2	1663	3.606736660003662	0.0104560135	No	
row_3	TBL1XR1	2372	2.9287986755371094	-0.004075844	No	
row_4	GABPA	2558	2.797455072402954	0.008975043	No	
row_5	MAPK14	2712	2.7035980224609375	0.023002077	No	
row_6	MTERF1	2985	2.556633472442627	0.029286908	No	
row_7	CAMK4	3799	2.2226858139038086	0.0031446149	No	
row_8	MEF2D	4028	2.1076996326446533	0.008119616	No	
row_9	PPRC1	4043	2.101297378540039	0.02477335	No	
row_10	ATF2	4399	1.973924994468689	0.021676928	No	
row_11	MAPK11	4419	1.966312289237976	0.03693743	No	
row_12	NR1D1	4607	1.907264232635498	0.042498365	No	
row_13	PRKAG3	4869	1.8212194442749023	0.043289132	No	
row_14	PRKAG1	5325	1.684328317642212	0.03230959	No	
row_15	PPARGC1B	5468	1.6441797018051147	0.03815634	No	
row_16	POLG2	5817	1.560631513595581	0.032017175	No	
row_17	CRTC2	6313	1.4241124391555786	0.016687399	No	
row_18	TGS1	6600	1.345677375793457	0.012165047	No	
row_19	HCFC1	6790	1.304819941520691	0.01262165	No	
row_20	CHD9	7024	1.2435966730117798	0.01015852	No	
row_21	MED1	7118	1.2236430644989014	0.015204978	No	
row_22	TFAM	7245	1.1956348419189453	0.018210119	No	
row_23	PRKAB2	7661	1.0949344635009766	0.0045369505	No	
row_24	NCOA2	7725	1.0821269750595093	0.010054788	No	
row_25	TWNK	7892	1.0389456748962402	0.009568001	No	
row_26	NRF1	8049	1.0043253898620605	0.009342404	No	
row_27	SMARCD3	8141	0.9869430065155029	0.012536095	No	
row_28	TFB1M	8316	0.9452760815620422	0.010834149	No	
row_29	CRTC3	8521	0.9090760946273804	0.0071874326	No	
row_30	CREBBP	9112	0.7864477634429932	-0.01863708	No	
row_31	NCOR1	9201	0.7703956365585327	-0.017074253	No	
row_32	MAPK12	9269	0.7579790949821472	-0.014463117	No	
row_33	NCOA6	9985	0.6153455376625061	-0.048558883	No	
row_34	APOOL	10050	0.6048135161399841	-0.047053132	No	
row_35	SSBP1	10289	0.5592014789581299	-0.055464488	No	
row_36	PRKAB1	10300	0.5572560429573059	-0.05139266	No	
row_37	NCOA1	10590	0.5065614581108093	-0.06303634	No	
row_38	CARM1	10654	0.49745842814445496	-0.062365815	No	
row_39	CALM1	10903	0.45437610149383545	-0.072194465	No	
row_40	GLUD2	11036	0.43338635563850403	-0.07583783	No	
row_41	CRTC1	11379	0.3718388080596924	-0.09150399	No	
row_42	HDAC3	11419	0.3647739291191101	-0.090617806	No	
row_43	TBL1X	11438	0.36276811361312866	-0.088596985	No	
row_44	RXRA	11477	0.3537948727607727	-0.087747	No	
row_45	HSPA9	13491	0.051947131752967834	-0.19767211	No	
row_46	PRKAG2	13509	0.049616001546382904	-0.19819273	No	
row_47	ALAS1	14046	-0.011031590402126312	-0.22748563	No	
row_48	MTX2	14790	-0.1141761764883995	-0.26727143	No	
row_49	PRKAA2	14890	-0.1314336657524109	-0.2716091	No	
row_50	TFB2M	15083	-0.16591201722621918	-0.2807593	No	
row_51	GLUD1	15186	-0.18871688842773438	-0.28478652	No	
row_52	POLRMT	15350	-0.21954494714736938	-0.29190224	No	
row_53	SIRT5	15364	-0.2209160178899765	-0.29078338	No	
row_54	CHCHD3	15846	-0.3452659845352173	-0.31429005	No	
row_55	CYCS	15882	-0.3534075915813446	-0.3132788	No	
row_56	TMEM11	16120	-0.42678341269493103	-0.32273316	No	
row_57	ATP5MK	16190	-0.4502513110637665	-0.32278296	No	
row_58	PPARGC1A	16204	-0.45549824833869934	-0.31971925	No	
row_59	DMAC2L	16292	-0.48729509115219116	-0.3204487	No	
row_60	PPARA	16609	-0.6056138277053833	-0.33275133	No	
row_61	SIRT3	16704	-0.6451058983802795	-0.3325562	No	
row_62	ATP5ME	16824	-0.7004728317260742	-0.33327255	Yes	
row_63	ATP5MJ	16935	-0.7642974853515625	-0.33296636	Yes	
row_64	MICOS10	16979	-0.7859157919883728	-0.3288079	Yes	
row_65	ATP5F1E	16985	-0.7887709736824036	-0.32254252	Yes	
row_66	ACSS2	17012	-0.803989052772522	-0.31730223	Yes	
row_67	IMMT	17091	-0.8537153005599976	-0.31450042	Yes	
row_68	DNAJC11	17184	-0.9074524641036987	-0.31202057	Yes	
row_69	ATP5MF	17303	-0.9745742082595825	-0.31040964	Yes	
row_70	ATP5PB	17362	-1.0124282836914062	-0.30519554	Yes	
row_71	ATP5F1C	17480	-1.1261900663375854	-0.30227274	Yes	
row_72	ATP5PD	17719	-1.3668276071548462	-0.3039883	Yes	
row_73	ATP5MC2	17851	-1.5475049018859863	-0.29834002	Yes	
row_74	ATP5MG	17852	-1.5475941896438599	-0.28550938	Yes	
row_75	MTX1	17884	-1.6079659461975098	-0.27387768	Yes	
row_76	SAMM50	17934	-1.694139003753662	-0.26251832	Yes	
row_77	ATP5F1D	17939	-1.700678825378418	-0.24863778	Yes	
row_78	CHCHD6	17958	-1.7403422594070435	-0.2351959	Yes	
row_79	ATP5PF	17971	-1.7593852281570435	-0.22126722	Yes	
row_80	APOO	18053	-1.9301098585128784	-0.2097058	Yes	
row_81	ESRRA	18107	-2.103437900543213	-0.19517235	Yes	
row_82	SIRT4	18146	-2.240720272064209	-0.17867842	Yes	
row_83	ATP5PO	18197	-2.4217913150787354	-0.16134115	Yes	
row_84	ATP5F1A	18218	-2.581040143966675	-0.14103894	Yes	
row_85	ATP5MC3	18219	-2.6041054725646973	-0.119449064	Yes	
row_86	MICOS13	18241	-2.7335543632507324	-0.09793723	Yes	
row_87	ATP5F1B	18255	-2.873819351196289	-0.074823916	Yes	
row_88	ATP5MC1	18313	-4.094485282897949	-0.044002574	Yes	
row_89	IDH2	18327	-5.413250923156738	1.6441272E-4	Yes	
