NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MRPS10	3102	2.504706621170044	-0.13886906	No	
row_1	MRPL42	3990	2.1224679946899414	-0.16108353	No	
row_2	MRPL50	5163	1.7327666282653809	-0.20376761	No	
row_3	PTCD3	6708	1.325592279434204	-0.27190733	No	
row_4	MRPL30	7071	1.2332801818847656	-0.27640703	No	
row_5	MRPS18C	7165	1.2107272148132324	-0.26644272	No	
row_6	DAP3	7826	1.0517698526382446	-0.2895346	No	
row_7	MRPS27	7970	1.0206254720687866	-0.28467587	No	
row_8	GFM1	9771	0.6558434367179871	-0.37517953	No	
row_9	MRPL9	10635	0.49959298968315125	-0.41626763	No	
row_10	MRPS14	11257	0.3935622572898865	-0.44541016	No	
row_11	MRPS31	11502	0.3503429591655731	-0.45442602	No	
row_12	MRPS30	11534	0.34673523902893066	-0.4518117	No	
row_13	MRPL39	11983	0.26886576414108276	-0.47302294	No	
row_14	MRPL19	12282	0.2256389558315277	-0.48655006	No	
row_15	MRPL3	12605	0.17524529993534088	-0.5020196	No	
row_16	MRPS35	12660	0.16761013865470886	-0.50289434	No	
row_17	MRPS25	13317	0.07379332929849625	-0.53793335	No	
row_18	MRPL47	13575	0.0416543111205101	-0.551502	No	
row_19	MRPL44	14052	-0.011976132169365883	-0.5774438	No	
row_20	MRPL32	14162	-0.022127263247966766	-0.58314306	No	
row_21	MRPS9	14181	-0.024641359224915504	-0.58382314	No	
row_22	MRPL35	14725	-0.10323277860879898	-0.61230206	No	
row_23	MRPS22	14734	-0.10523830354213715	-0.61143136	No	
row_24	MRPL18	14826	-0.1221228614449501	-0.61490005	No	
row_25	MRPL33	15008	-0.1504894495010376	-0.622949	No	
row_26	MRPL13	15050	-0.15784776210784912	-0.6232326	No	
row_27	MRPL45	15064	-0.1602722555398941	-0.62195134	No	
row_28	MRPS23	15199	-0.19068598747253418	-0.62692404	No	
row_29	MRPL11	15230	-0.1968860626220703	-0.6261191	No	
row_30	OXA1L	15236	-0.19762305915355682	-0.6239346	No	
row_31	MRPS17	15281	-0.20636926591396332	-0.62377906	No	
row_32	MRPL22	15320	-0.21364963054656982	-0.62320405	No	
row_33	MRPL10	15405	-0.22970256209373474	-0.62495077	No	
row_34	MRPS21	15536	-0.25748011469841003	-0.6288732	No	
row_35	MRPL51	15808	-0.33122000098228455	-0.63960695	No	
row_36	MRPL41	15848	-0.3457755446434021	-0.63744307	No	
row_37	MRPL1	16003	-0.3860456943511963	-0.64108163	No	
row_38	MRPS6	16039	-0.39883896708488464	-0.6380384	No	
row_39	MRPS16	16085	-0.4162321388721466	-0.63532686	No	
row_40	MRPL49	16153	-0.4401963949203491	-0.6335231	No	
row_41	MRPL17	16502	-0.5579398274421692	-0.64565694	Yes	
row_42	MRPL52	16643	-0.6188609600067139	-0.64563185	Yes	
row_43	MRPS5	16690	-0.6368420720100403	-0.64023066	Yes	
row_44	CHCHD1	16834	-0.7050564885139465	-0.6392977	Yes	
row_45	MRPS11	16856	-0.7188602685928345	-0.6315059	Yes	
row_46	MRPL40	16890	-0.7399513125419617	-0.62410945	Yes	
row_47	MRPL58	16916	-0.7550891041755676	-0.6160862	Yes	
row_48	MRPL15	16930	-0.7616198658943176	-0.60732394	Yes	
row_49	MRPS33	16948	-0.7733522057533264	-0.59863496	Yes	
row_50	MRPL48	16975	-0.7849738597869873	-0.5902947	Yes	
row_51	TSFM	17010	-0.8030417561531067	-0.5821682	Yes	
row_52	MRPS34	17051	-0.8324844241142273	-0.57400435	Yes	
row_53	MRPL14	17182	-0.9062851667404175	-0.56985545	Yes	
row_54	GADD45GIP1	17257	-0.9443492293357849	-0.56216353	Yes	
row_55	MRPL4	17293	-0.9671368598937988	-0.5520505	Yes	
row_56	MRPL57	17300	-0.9736303091049194	-0.54026705	Yes	
row_57	MRPL24	17308	-0.9766867756843567	-0.5285004	Yes	
row_58	MRPL21	17336	-0.9961881637573242	-0.51758736	Yes	
row_59	MRPL55	17409	-1.0593520402908325	-0.5083552	Yes	
row_60	MRPL37	17495	-1.1355031728744507	-0.49888816	Yes	
row_61	MRPL53	17529	-1.1619844436645508	-0.4862415	Yes	
row_62	MRPL54	17574	-1.214562177658081	-0.47354367	Yes	
row_63	ERAL1	17595	-1.2316001653671265	-0.45931837	Yes	
row_64	MRPS26	17637	-1.277564287185669	-0.44567233	Yes	
