NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL12RB1	10	12.141490936279297	0.029718887	Yes	
row_1	FCRL3	50	10.505291938781738	0.05376931	Yes	
row_2	CD86	86	9.84937858581543	0.076403886	Yes	
row_3	IL1B	89	9.802396774291992	0.10073026	Yes	
row_4	FCGR3A	100	9.549310684204102	0.123987205	Yes	
row_5	PDCD1LG2	129	9.1834077835083	0.14534533	Yes	
row_6	TNFSF13B	134	9.16575813293457	0.16797502	Yes	
row_7	NCKAP1L	145	9.098361015319824	0.19010781	Yes	
row_8	SASH3	158	8.991942405700684	0.21186568	Yes	
row_9	IL7	165	8.952604293823242	0.23385438	Yes	
row_10	CD38	179	8.874618530273438	0.25526497	Yes	
row_11	CD274	181	8.868427276611328	0.2773179	Yes	
row_12	HLA-DPA1	197	8.689655303955078	0.29815775	Yes	
row_13	HLA-E	198	8.680892944335938	0.31979802	Yes	
row_14	PTPRC	222	8.467007637023926	0.33964434	Yes	
row_15	HLA-DPB1	269	8.130353927612305	0.35739064	Yes	
row_16	CD1D	274	8.117042541503906	0.37740606	Yes	
row_17	CD74	276	8.085564613342285	0.39750743	Yes	
row_18	LILRB2	286	7.998807430267334	0.41695398	Yes	
row_19	XCL1	303	7.926309585571289	0.4358361	Yes	
row_20	EBI3	312	7.86825704574585	0.45501205	Yes	
row_21	ANXA1	329	7.740741729736328	0.47343162	Yes	
row_22	CD209	352	7.598402976989746	0.49116743	Yes	
row_23	HLA-DMB	379	7.47007942199707	0.5083641	Yes	
row_24	RASAL3	399	7.289695739746094	0.52549475	Yes	
row_25	LGALS9	418	7.197831630706787	0.54245126	Yes	
row_26	PYCARD	425	7.171306133270264	0.55999947	Yes	
row_27	CCDC88B	441	7.040400981903076	0.576728	Yes	
row_28	CCL5	461	6.89826774597168	0.5928829	Yes	
row_29	TNFRSF4	501	6.722168922424316	0.6075025	Yes	
row_30	HLA-A	510	6.67292594909668	0.62369865	Yes	
row_31	CD40LG	524	6.595555782318115	0.63942784	Yes	
row_32	CD6	569	6.45159912109375	0.6530989	Yes	
row_33	GPR183	584	6.401447296142578	0.6682894	Yes	
row_34	CD3E	595	6.3731842041015625	0.68362874	Yes	
row_35	TGFBR2	694	5.946826934814453	0.6930814	Yes	
row_36	CSF1	712	5.868546485900879	0.706779	Yes	
row_37	NCK1	746	5.732111930847168	0.71925944	Yes	
row_38	CCR2	752	5.718742370605469	0.7332414	Yes	
row_39	CD28	791	5.523102283477783	0.74492675	Yes	
row_40	VCAM1	891	5.128414630889893	0.7522844	Yes	
row_41	IL15	965	4.933203220367432	0.76058066	Yes	
row_42	PPP3CA	1120	4.5541253089904785	0.76349187	Yes	
row_43	JAK2	1193	4.384382247924805	0.7704748	Yes	
row_44	NFATC2	1195	4.375417232513428	0.7813273	Yes	
row_45	CHRNB2	1196	4.374982833862305	0.7922335	Yes	
row_46	AIF1	1382	4.005939960479736	0.7920789	Yes	
row_47	TLR9	1398	3.9786810874938965	0.80117494	Yes	
row_48	CD55	1462	3.8556876182556152	0.80733323	Yes	
row_49	MEF2C	1546	3.7254786491394043	0.81207067	Yes	
row_50	IL6ST	1682	3.579519748687744	0.8135938	Yes	
row_51	HMGB1	2288	2.9971179962158203	0.7879018	No	
row_52	CCL19	3059	2.5236754417419434	0.751985	No	
row_53	TYK2	3881	2.185964584350586	0.7124308	No	
row_54	IL23A	3986	2.124842882156372	0.7120269	No	
row_55	CD276	4287	2.0120859146118164	0.70059806	No	
row_56	AGER	4613	1.9038722515106201	0.6875291	No	
row_57	CLCF1	4921	1.806438684463501	0.6752039	No	
row_58	ICOSLG	4983	1.7888543605804443	0.67631954	No	
row_59	HHLA2	6116	1.4791089296340942	0.61795557	No	
row_60	FADD	6573	1.3559130430221558	0.59633976	No	
row_61	IGF2	6995	1.2531360387802124	0.57638633	No	
row_62	IRS2	7265	1.1911678314208984	0.56461036	No	
row_63	TIRAP	7712	1.0845023393630981	0.5428661	No	
row_64	ZNF335	8058	1.003448247909546	0.52645624	No	
row_65	SHH	8419	0.9300105571746826	0.509041	No	
row_66	CD46	8431	0.9276508092880249	0.51075053	No	
row_67	BCL2	8449	0.9239909648895264	0.51212204	No	
row_68	IGF1	8760	0.8577638268470764	0.49726754	No	
row_69	SLC7A1	8875	0.8324859142303467	0.49309382	No	
row_70	TNFSF4	8919	0.8249348998069763	0.4927932	No	
row_71	RPS3	8997	0.8083704113960266	0.49058756	No	
row_72	FGF10	9476	0.7148072123527527	0.46616766	No	
row_73	NCK2	9510	0.7081707119941711	0.46612412	No	
row_74	IL18	11128	0.41922372579574585	0.37853244	No	
row_75	CD24	11389	0.3701244592666626	0.36520305	No	
row_76	NR5A2	11623	0.3310302197933197	0.35325626	No	
row_77	CD81	12033	0.26232606172561646	0.33149064	No	
row_78	ZP3	12533	0.18808449804782867	0.30460656	No	
row_79	EPHB2	12623	0.17256250977516174	0.30015814	No	
row_80	IGFBP2	12795	0.14430572092533112	0.29114443	No	
row_81	BST1	13461	0.056416161358356476	0.2548327	No	
row_82	TNFSF13	13804	0.014895460568368435	0.23612294	No	
row_83	VAV3	14095	-0.01580149494111538	0.22026582	No	
row_84	TFRC	15442	-0.23795898258686066	0.14707729	No	
row_85	MIF	16978	-0.7856964468955994	0.06489407	No	
row_86	CD320	17933	-1.6916837692260742	0.016817171	No	
row_87	PNP	18061	-1.9615299701690674	0.014745418	No	
