NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL10	7670	1.0934985876083374	-0.3737497	Yes	
row_1	RPS2	7925	1.0325143337249756	-0.34377983	Yes	
row_2	RPL5	8008	1.0135856866836548	-0.3051909	Yes	
row_3	RPL22	8745	0.8604810833930969	-0.30894125	Yes	
row_4	RPL39	8888	0.8294549584388733	-0.28146592	Yes	
row_5	RPS3	8997	0.8083704113960266	-0.25302398	Yes	
row_6	RPL36A	9251	0.7609743475914001	-0.23454092	Yes	
row_7	RPL12	9695	0.6713651418685913	-0.23027642	Yes	
row_8	RPL21	9706	0.6686752438545227	-0.20240285	Yes	
row_9	RPS3A	9821	0.646142840385437	-0.18118498	Yes	
row_10	RPS12	10062	0.6014924645423889	-0.1687683	Yes	
row_11	RPL15	10287	0.5594714879989624	-0.15726107	Yes	
row_12	RPS27	10419	0.5369093418121338	-0.14161749	Yes	
row_13	RPL35A	10844	0.4651400148868561	-0.14507744	Yes	
row_14	RPS19	10860	0.4615398943424225	-0.1262819	Yes	
row_15	RPS15A	10923	0.4510135352611542	-0.110508844	Yes	
row_16	RPS25	10978	0.4428205192089081	-0.094645716	Yes	
row_17	RPS8	10989	0.44200363755226135	-0.07640661	Yes	
row_18	RPS18	11114	0.4227433502674103	-0.065232046	Yes	
row_19	RPSA	11298	0.38756248354911804	-0.058785327	Yes	
row_20	RPL10A	11385	0.37022972106933594	-0.04776084	Yes	
row_21	RPS13	11404	0.3676455318927765	-0.033120573	Yes	
row_22	RPL7	11553	0.344157338142395	-0.02660116	Yes	
row_23	RPS23	11707	0.31567099690437317	-0.021566477	Yes	
row_24	RPL38	11749	0.30906838178634644	-0.010676117	Yes	
row_25	RPLP0	11812	0.2967594861984253	-0.0014594952	Yes	
row_26	RPL34	11962	0.2716800570487976	0.0019245459	Yes	
row_27	RPL13	12132	0.2478007972240448	0.003197848	Yes	
row_28	RPL17	12187	0.241303488612175	0.010495667	Yes	
row_29	RPL37	12265	0.2282584011554718	0.01597888	Yes	
row_30	RPL11	12388	0.20908941328525543	0.01818185	Yes	
row_31	RPL4	12420	0.20301592350006104	0.025112426	Yes	
row_32	RPS24	12421	0.20301592350006104	0.033741444	Yes	
row_33	RPS6	12469	0.196064293384552	0.03949993	Yes	
row_34	RPL27A	12479	0.19478455185890198	0.047285985	Yes	
row_35	RPL30	12498	0.1924523264169693	0.054479815	Yes	
row_36	RPL28	12513	0.19071418046951294	0.06181892	Yes	
row_37	RPL26	12553	0.1843748837709427	0.06751887	Yes	
row_38	RPLP2	12599	0.17633019387722015	0.07254814	Yes	
row_39	RPS14	12724	0.15859298408031464	0.07249523	Yes	
row_40	RPL14	12762	0.1521790325641632	0.0769363	Yes	
row_41	RPL31	12843	0.13786859810352325	0.0784132	Yes	
row_42	RPLP1	13071	0.10494700074195862	0.07043689	Yes	
row_43	QARS1	13104	0.1015612930059433	0.07300043	Yes	
row_44	RPL23A	13106	0.10151098668575287	0.077260286	Yes	
row_45	RPS11	13165	0.09492193162441254	0.078117125	Yes	
row_46	RPL32	13356	0.06913245469331741	0.07064572	Yes	
row_47	RACK1	13541	0.04648764431476593	0.06254055	Yes	
row_48	RPL13A	13678	0.026783067733049393	0.056227706	Yes	
row_49	RPL6	13690	0.025534596294164658	0.05671036	Yes	
row_50	RPS20	13714	0.02409052848815918	0.05647417	Yes	
row_51	RPS29	13735	0.021944701671600342	0.05631114	Yes	
row_52	RPL18A	13737	0.021759647876024246	0.057181228	Yes	
row_53	RPS9	13827	0.012677748687565327	0.052843906	Yes	
row_54	RPL7A	13857	0.00902944803237915	0.05163883	Yes	
row_55	RPL3	13884	0.006371140480041504	0.050485127	Yes	
row_56	RPL23	13969	-0.002075236989185214	0.0459711	Yes	
row_57	RPS4X	14180	-0.024514123797416687	0.035507463	Yes	
row_58	RPL27	14258	-0.03529168292880058	0.032788787	Yes	
row_59	RPS17	14294	-0.03991689532995224	0.032567825	Yes	
row_60	RPL19	14345	-0.04810960963368416	0.031873256	Yes	
row_61	RPL37A	14402	-0.05606900155544281	0.031188264	Yes	
row_62	RPL18	14738	-0.10676414519548416	0.01737203	Yes	
row_63	UBA52	14757	-0.10965748131275177	0.021046735	Yes	
row_64	RPS10	14796	-0.11566690355539322	0.023881095	Yes	
row_65	RPS5	14899	-0.1339041143655777	0.023984145	Yes	
row_66	RPL35	14939	-0.1391134411096573	0.027760293	Yes	
row_67	RPL36	15011	-0.15120749175548553	0.030297253	Yes	
row_68	RPS26	15093	-0.16713541746139526	0.03296333	Yes	
row_69	RPS7	15327	-0.21490301191806793	0.029331878	Yes	
row_70	RPS21	15434	-0.235926553606987	0.03355215	Yes	
row_71	RPL29	15494	-0.24791964888572693	0.040857244	Yes	
row_72	FAU	15538	-0.2592351734638214	0.049519908	Yes	
row_73	RPS16	15622	-0.28168338537216187	0.056945175	Yes	
row_74	RPL41	15704	-0.30712759494781494	0.0655615	Yes	
row_75	RPS15	15860	-0.34742242097854614	0.07183617	Yes	
row_76	RPL8	15908	-0.36350810527801514	0.084711716	Yes	
row_77	RPL24	15971	-0.37751293182373047	0.09736069	Yes	
row_78	RPS28	16903	-0.7488846182823181	0.078183286	Yes	
