NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C3AR1	301	7.941450119018555	0.0070813918	Yes	
row_1	C1QC	392	7.313930988311768	0.02386161	Yes	
row_2	IGKV1D-39	393	7.307272434234619	0.045553565	Yes	
row_3	C1QB	439	7.06095027923584	0.06404855	Yes	
row_4	IGKV1-39	443	7.001875400543213	0.08466954	Yes	
row_5	C1QA	472	6.884768486022949	0.10357303	Yes	
row_6	IGKV1-33	561	6.465994834899902	0.1179457	Yes	
row_7	IGKV3-15	562	6.464252948760986	0.13713512	Yes	
row_8	IGLV1-47	614	6.271987438201904	0.15295927	Yes	
row_9	CFH	618	6.250530242919922	0.17134985	Yes	
row_10	IGLV3-21	635	6.164523601531982	0.1887728	Yes	
row_11	SERPING1	651	6.109558582305908	0.20608738	Yes	
row_12	IGHV3-11	663	6.060171604156494	0.22347452	Yes	
row_13	CFHR1	665	6.0517706871032715	0.24138467	Yes	
row_14	IGHV1-2	667	6.049181938171387	0.25928715	Yes	
row_15	IGHV4-59	731	5.792767524719238	0.27303118	Yes	
row_16	IGHV3-33	742	5.750285625457764	0.2895532	Yes	
row_17	IGLV1-44	743	5.747685432434082	0.30661544	Yes	
row_18	C1S	764	5.670397758483887	0.32235238	Yes	
row_19	IGLV2-11	785	5.591971397399902	0.3378565	Yes	
row_20	CFB	787	5.562966823577881	0.3543156	Yes	
row_21	IGLV2-8	803	5.470800876617432	0.36973402	Yes	
row_22	IGKV1D-33	806	5.459993362426758	0.38583267	Yes	
row_23	IGKV3D-20	820	5.389137268066406	0.40111822	Yes	
row_24	IGHV3-30	865	5.266363143920898	0.41434067	Yes	
row_25	IGLV3-19	888	5.156337261199951	0.42844203	Yes	
row_26	IGLV1-40	937	4.991975784301758	0.4406308	Yes	
row_27	IGHV3-23	963	4.933809757232666	0.45390716	Yes	
row_28	IGKV1-12	973	4.904511451721191	0.46797326	Yes	
row_29	IGHV3-7	977	4.883306980133057	0.48230517	Yes	
row_30	IGKV3-11	984	4.865407466888428	0.49641958	Yes	
row_31	C2	1004	4.821250915527344	0.5096906	Yes	
row_32	IGHG4	1048	4.719864368438721	0.52134556	Yes	
row_33	IGHV3-48	1050	4.712488174438477	0.53528	Yes	
row_34	IGLV3-1	1070	4.683426380157471	0.54814184	Yes	
row_35	IGKV4-1	1091	4.629783630371094	0.56078964	Yes	
row_36	IGHG3	1093	4.627211570739746	0.57447094	Yes	
row_37	IGKV2D-28	1105	4.593753814697266	0.587505	Yes	
row_38	IGKV3-20	1117	4.5576090812683105	0.6004317	Yes	
row_39	IGKV2-28	1135	4.526049613952637	0.61293596	Yes	
row_40	IGKV2-30	1137	4.522315979003906	0.6263059	Yes	
row_41	C1R	1158	4.469188690185547	0.63847697	Yes	
row_42	IGHV4-34	1177	4.436436653137207	0.6506604	Yes	
row_43	IGHV4-39	1194	4.377521991729736	0.66277856	Yes	
row_44	CD19	1228	4.310536861419678	0.6737664	Yes	
row_45	IGLV2-14	1247	4.27230978012085	0.6854626	Yes	
row_46	IGHG2	1272	4.218703269958496	0.69667095	Yes	
row_47	IGKC	1290	4.189626693725586	0.7081765	Yes	
row_48	C3	1301	4.171087741851807	0.72001064	Yes	
row_49	IGKV1-17	1345	4.069443225860596	0.7297348	Yes	
row_50	IGHG1	1363	4.032596588134766	0.7407742	Yes	
row_51	IGLC1	1401	3.975592613220215	0.75054854	Yes	
row_52	CD55	1462	3.8556876182556152	0.7587066	Yes	
row_53	IGHV2-5	1516	3.7711832523345947	0.76699746	Yes	
row_54	IGLV2-23	1523	3.7588534355163574	0.777827	Yes	
row_55	IGLC3	1569	3.6984522342681885	0.7863403	Yes	
row_56	IGLC2	1594	3.667435646057129	0.79591215	Yes	
row_57	IGKV1-5	1614	3.6425652503967285	0.80568415	Yes	
row_58	IGKV2D-30	1916	3.3148016929626465	0.79903114	Yes	
row_59	IGLV3-25	1917	3.3148016929626465	0.80887127	Yes	
row_60	IGLC6	1978	3.2709853649139404	0.81529367	Yes	
row_61	CD59	2000	3.2403435707092285	0.8237621	Yes	
row_62	C5AR1	2107	3.1511318683624268	0.8273082	Yes	
row_63	PROS1	2693	2.7181975841522217	0.80332243	No	
row_64	IGHV1-46	2951	2.5747694969177246	0.7968836	No	
row_65	C7	4046	2.100233554840088	0.743173	No	
row_66	IGLV6-57	4088	2.0861012935638428	0.7471191	No	
row_67	IGLV1-51	4561	1.9157909154891968	0.7269432	No	
row_68	CFI	5760	1.57279372215271	0.6659683	No	
row_69	CR1	6078	1.488222360610962	0.65301627	No	
row_70	C6	6109	1.4795126914978027	0.6557644	No	
row_71	CD46	8431	0.9276508092880249	0.5313401	No	
row_72	C4A	8526	0.9080919027328491	0.5288851	No	
row_73	CLU	9668	0.6770264506340027	0.46837437	No	
row_74	C5	9806	0.6470170021057129	0.46278822	No	
row_75	CD81	12033	0.26232606172561646	0.34159434	No	
row_76	C8G	14255	-0.03529168292880058	0.22000049	No	
row_77	CR2	14460	-0.06579722464084625	0.20901772	No	
row_78	CPN2	15297	-0.20979540050029755	0.16383229	No	
row_79	VTN	15721	-0.30967530608177185	0.1415735	No	
row_80	C5AR2	16179	-0.44826140999794006	0.11786308	No	
