NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD3G	71	10.134791374206543	0.030333161	Yes	
row_1	FCGR3A	100	9.549310684204102	0.0610446	Yes	
row_2	FCGR1A	208	8.597878456115723	0.08421624	Yes	
row_3	FCGR2A	371	7.514964580535889	0.100718655	Yes	
row_4	IGKV1D-39	393	7.307272434234619	0.124242835	Yes	
row_5	IGKV1-39	443	7.001875400543213	0.14520212	Yes	
row_6	IGKV1-33	561	6.465994834899902	0.16062729	Yes	
row_7	IGKV3-15	562	6.464252948760986	0.1824551	Yes	
row_8	IGLV1-47	614	6.271987438201904	0.20084023	Yes	
row_9	IGLV3-21	635	6.164523601531982	0.22056046	Yes	
row_10	IGHV3-11	663	6.060171604156494	0.23954493	Yes	
row_11	IGHV1-2	667	6.049181938171387	0.25980684	Yes	
row_12	IGHV4-59	731	5.792767524719238	0.2759165	Yes	
row_13	IGHV3-33	742	5.750285625457764	0.2947857	Yes	
row_14	IGLV1-44	743	5.747685432434082	0.31419387	Yes	
row_15	PLD4	774	5.6330647468566895	0.33157182	Yes	
row_16	IGLV2-11	785	5.591971397399902	0.34990644	Yes	
row_17	IGLV2-8	803	5.470800876617432	0.3674485	Yes	
row_18	IGKV1D-33	806	5.459993362426758	0.3857757	Yes	
row_19	IGKV3D-20	820	5.389137268066406	0.4032611	Yes	
row_20	IGHV3-30	865	5.266363143920898	0.41863397	Yes	
row_21	IGLV3-19	888	5.156337261199951	0.43484032	Yes	
row_22	IGLV1-40	937	4.991975784301758	0.44906756	Yes	
row_23	IGHV3-23	963	4.933809757232666	0.46435818	Yes	
row_24	IGKV1-12	973	4.904511451721191	0.48042625	Yes	
row_25	IGHV3-7	977	4.883306980133057	0.49675137	Yes	
row_26	IGKV3-11	984	4.865407466888428	0.5128517	Yes	
row_27	IGHG4	1048	4.719864368438721	0.52533853	Yes	
row_28	IGHV3-48	1050	4.712488174438477	0.54119635	Yes	
row_29	IGLV3-1	1070	4.683426380157471	0.5559702	Yes	
row_30	IGKV4-1	1091	4.629783630371094	0.57050806	Yes	
row_31	IGHG3	1093	4.627211570739746	0.586078	Yes	
row_32	IGKV2D-28	1105	4.593753814697266	0.60098714	Yes	
row_33	IGKV3-20	1117	4.5576090812683105	0.6157743	Yes	
row_34	IGKV2-28	1135	4.526049613952637	0.63012624	Yes	
row_35	IGKV2-30	1137	4.522315979003906	0.64534193	Yes	
row_36	IGHV4-34	1177	4.436436653137207	0.65818626	Yes	
row_37	IGHV4-39	1194	4.377521991729736	0.6720914	Yes	
row_38	IGLV2-14	1247	4.27230978012085	0.68366945	Yes	
row_39	IGHG2	1272	4.218703269958496	0.6966002	Yes	
row_40	IGKC	1290	4.189626693725586	0.7098161	Yes	
row_41	IGKV1-17	1345	4.069443225860596	0.7205996	Yes	
row_42	IGHG1	1363	4.032596588134766	0.7332853	Yes	
row_43	IGLC1	1401	3.975592613220215	0.744683	Yes	
row_44	IGHV2-5	1516	3.7711832523345947	0.75117296	Yes	
row_45	IGLV2-23	1523	3.7588534355163574	0.7635368	Yes	
row_46	IGLC3	1569	3.6984522342681885	0.7735606	Yes	
row_47	IGLC2	1594	3.667435646057129	0.7846298	Yes	
row_48	IGKV1-5	1614	3.6425652503967285	0.79588896	Yes	
row_49	PLD2	1774	3.4729645252227783	0.7989071	Yes	
row_50	IGKV2D-30	1916	3.3148016929626465	0.8023771	Yes	
row_51	IGLV3-25	1917	3.3148016929626465	0.81357014	Yes	
row_52	IGLC6	1978	3.2709853649139404	0.8213289	Yes	
row_53	IGHV1-46	2951	2.5747694969177246	0.7767832	No	
row_54	PIK3CA	3112	2.5011820793151855	0.7764652	No	
row_55	IGLV6-57	4088	2.0861012935638428	0.73010516	No	
row_56	IGLV1-51	4561	1.9157909154891968	0.7107211	No	
row_57	ITPR3	4778	1.8525584936141968	0.70514554	No	
row_58	PLCG1	4861	1.8248953819274902	0.7068162	No	
row_59	PIK3R1	6286	1.4296246767044067	0.63364613	No	
row_60	PLPP5	8128	0.9899025559425354	0.5361507	No	
row_61	PLD1	9013	0.8055339455604553	0.49045095	No	
row_62	PIK3CB	9769	0.6558784246444702	0.45131165	No	
row_63	AHCYL1	9845	0.6425252556800842	0.44937325	No	
row_64	PLD3	10140	0.5825607776641846	0.43523696	No	
row_65	SYK	10637	0.4992600083351135	0.40975514	No	
row_66	ITPR2	10815	0.47040092945098877	0.40164864	No	
row_67	PRKCD	10893	0.4561975300312042	0.39897153	No	
row_68	PLA2G6	11148	0.41582250595092773	0.38646317	No	
row_69	ITPR1	12653	0.16822770237922668	0.30465186	No	
row_70	PRKCE	14479	-0.06723888963460922	0.20491724	No	
row_71	PLCG2	14502	-0.06913245469331741	0.20394565	No	
row_72	PIK3R2	14588	-0.08083076775074005	0.19956285	No	
row_73	PLPP4	17869	-1.582905650138855	0.02525072	No	
