NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IGSF6	32	11.216336250305176	0.050624553	Yes	
row_1	PLEK	82	9.903335571289062	0.094188586	Yes	
row_2	NCKAP1L	145	9.098361015319824	0.133283	Yes	
row_3	TYROBP	228	8.404661178588867	0.16804467	Yes	
row_4	NCF2	243	8.286018371582031	0.20597042	Yes	
row_5	BIN2	244	8.272374153137207	0.24459794	Yes	
row_6	RNASE6	307	7.905904769897461	0.27812424	Yes	
row_7	RUNX3	336	7.714573383331299	0.31261617	Yes	
row_8	HCLS1	356	7.587377548217773	0.34700623	Yes	
row_9	C1QC	392	7.313930988311768	0.37924463	Yes	
row_10	SAMSN1	398	7.290358543395996	0.41301328	Yes	
row_11	APBB1IP	403	7.2790303230285645	0.44678372	Yes	
row_12	GAPT	427	7.159195423126221	0.47895572	Yes	
row_13	ITGAX	453	6.946057319641113	0.5100231	Yes	
row_14	CD84	457	6.915145397186279	0.54214907	Yes	
row_15	ITGAM	462	6.895644187927246	0.57412934	Yes	
row_16	SH2B3	547	6.519893646240234	0.5999808	Yes	
row_17	RGS1	550	6.5186262130737305	0.6303099	Yes	
row_18	ADAP2	577	6.419449806213379	0.65886366	Yes	
row_19	ELF4	644	6.113973140716553	0.68380386	Yes	
row_20	CXCL16	721	5.8293938636779785	0.70686847	Yes	
row_21	NRROS	732	5.792767524719238	0.7333708	Yes	
row_22	CD37	750	5.721406936645508	0.7591572	Yes	
row_23	LYL1	980	4.875532627105713	0.7694021	Yes	
row_24	SFT2D2	985	4.865407466888428	0.7919022	Yes	
row_25	ZFP36L2	990	4.8500213623046875	0.81433046	Yes	
row_26	DPYD	1006	4.815492153167725	0.8359961	Yes	
row_27	GAL3ST4	1159	4.468703746795654	0.8485515	Yes	
row_28	FKBP15	1235	4.298410415649414	0.8645219	Yes	
row_29	LOXL3	1419	3.933180332183838	0.87288177	Yes	
row_30	LHFPL2	2609	2.7626752853393555	0.8207702	No	
row_31	TCIRG1	2941	2.5783722400665283	0.8147115	No	
row_32	HLX	4411	1.968064785003662	0.7435798	No	
row_33	SPP1	5669	1.5962200164794922	0.6823034	No	
row_34	NPC2	10380	0.5415381193161011	0.42730027	No	
row_35	MAF	11005	0.43908077478408813	0.39523166	No	
row_36	RPS6KA1	12083	0.25550949573516846	0.3375369	No	
row_37	GPX1	13121	0.09973514825105667	0.28130186	No	
row_38	RBM47	14431	-0.05938877910375595	0.2100061	No	
row_39	KCNE3	14554	-0.07663566619157791	0.20369327	No	
row_40	SLC7A7	15347	-0.21886372566223145	0.16141053	No	
row_41	TMEM106A	15869	-0.3508525490760803	0.13456175	No	
