NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DNAJC3	2665	2.7336013317108154	-0.06341381	No	
row_1	RPL22L1	4543	1.9225082397460938	-0.10816205	No	
row_2	RPL39L	5755	1.5743308067321777	-0.12693468	No	
row_3	GRSF1	7160	1.2119892835617065	-0.16724136	Yes	
row_4	RPL10	7670	1.0934985876083374	-0.16207622	Yes	
row_5	RPS2	7925	1.0325143337249756	-0.14477858	Yes	
row_6	RPL5	8008	1.0135856866836548	-0.11862603	Yes	
row_7	RPL22	8745	0.8604810833930969	-0.1329482	Yes	
row_8	RPL39	8888	0.8294549584388733	-0.11565162	Yes	
row_9	RPS3	8997	0.8083704113960266	-0.09712903	Yes	
row_10	RPL36A	9251	0.7609743475914001	-0.08798691	Yes	
row_11	RPL12	9695	0.6713651418685913	-0.09196803	Yes	
row_12	RPL21	9706	0.6686752438545227	-0.07229795	Yes	
row_13	RPS3A	9821	0.646142840385437	-0.05900936	Yes	
row_14	RPS12	10062	0.6014924645423889	-0.053976826	Yes	
row_15	RPL15	10287	0.5594714879989624	-0.049337894	Yes	
row_16	RPS27A	10388	0.5406602621078491	-0.038471356	Yes	
row_17	RPS27	10419	0.5369093418121338	-0.023881566	Yes	
row_18	RPL35A	10844	0.4651400148868561	-0.033056762	Yes	
row_19	RPS19	10860	0.4615398943424225	-0.019923711	Yes	
row_20	RPS15A	10923	0.4510135352611542	-0.009684984	Yes	
row_21	RPS4Y1	10967	0.44448229670524597	0.0013976443	Yes	
row_22	RPS25	10978	0.4428205192089081	0.014238741	Yes	
row_23	RPS8	10989	0.44200363755226135	0.027055139	Yes	
row_24	RPS18	11114	0.4227433502674103	0.033040892	Yes	
row_25	RPSA	11298	0.38756248354911804	0.03472915	Yes	
row_26	RPL10A	11385	0.37022972106933594	0.041209854	Yes	
row_27	RPS13	11404	0.3676455318927765	0.05133947	Yes	
row_28	RPL7	11553	0.344157338142395	0.053633656	Yes	
row_29	RPS23	11707	0.31567099690437317	0.054792475	Yes	
row_30	RPL38	11749	0.30906838178634644	0.061890326	Yes	
row_31	RPLP0	11812	0.2967594861984253	0.067465	Yes	
row_32	RPL34	11962	0.2716800570487976	0.067512944	Yes	
row_33	RPL13	12132	0.2478007972240448	0.06574267	Yes	
row_34	RPL36AL	12147	0.2461436241865158	0.07241778	Yes	
row_35	RPL17	12187	0.241303488612175	0.077576295	Yes	
row_36	RPL37	12265	0.2282584011554718	0.080257624	Yes	
row_37	RPL11	12388	0.20908941328525543	0.07989292	Yes	
row_38	RPL4	12420	0.20301592350006104	0.08433224	Yes	
row_39	RPS24	12421	0.20301592350006104	0.090470664	Yes	
row_40	RPS6	12469	0.196064293384552	0.09382285	Yes	
row_41	RPL27A	12479	0.19478455185890198	0.0992191	Yes	
row_42	RPL30	12498	0.1924523264169693	0.104051545	Yes	
row_43	RPL28	12513	0.19071418046951294	0.109050676	Yes	
row_44	RPL26	12553	0.1843748837709427	0.1124879	Yes	
row_45	RPLP2	12599	0.17633019387722015	0.11535302	Yes	
row_46	RPS14	12724	0.15859298408031464	0.113351874	Yes	
row_47	RPL14	12762	0.1521790325641632	0.11592523	Yes	
row_48	RPL31	12843	0.13786859810352325	0.11570909	Yes	
row_49	RPLP1	13071	0.10494700074195862	0.106440514	Yes	
row_50	RPL23A	13106	0.10151098668575287	0.107646294	Yes	
row_51	RPS11	13165	0.09492193162441254	0.107337415	Yes	
row_52	RPL32	13356	0.06913245469331741	0.0990139	Yes	
row_53	RPL13A	13678	0.026783067733049393	0.08222986	Yes	
row_54	RPL6	13690	0.025534596294164658	0.08239902	Yes	
row_55	RPS20	13714	0.02409052848815918	0.08186681	Yes	
row_56	RPS29	13735	0.021944701671600342	0.08143414	Yes	
row_57	RPL18A	13737	0.021759647876024246	0.082037255	Yes	
row_58	RPS9	13827	0.012677748687565327	0.077542536	Yes	
row_59	RPL7A	13857	0.00902944803237915	0.07622608	Yes	
row_60	RPL3	13884	0.006371140480041504	0.07499367	Yes	
row_61	RPL23	13969	-0.002075236989185214	0.070452414	Yes	
row_62	RPS4X	14180	-0.024514123797416687	0.05968362	Yes	
row_63	RPL27	14258	-0.03529168292880058	0.05653037	Yes	
row_64	RPS17	14294	-0.03991689532995224	0.05581897	Yes	
row_65	RPL19	14345	-0.04810960963368416	0.054533146	Yes	
row_66	RPL37A	14402	-0.05606900155544281	0.05315912	Yes	
row_67	RPS27L	14672	-0.0949171632528305	0.041285288	Yes	
row_68	RPL18	14738	-0.10676414519548416	0.040950805	Yes	
row_69	UBA52	14757	-0.10965748131275177	0.043279856	Yes	
