NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
IMMUNOREGULATORY INTERACTIONS BETWEEN A LYMPHOID AND A NON-LYMPHOID CELL%REACTOME DATABASE ID RELEASE 91%198933	IMMUNOREGULATORY INTERACTIONS BETWEEN A LYMPHOID AND A NON-LYMPHOID CELL%REACTOME DATABASE ID RELEASE 91%198933	Details ...	143	0.8572839	2.1336725	0.0	0.0	0.0	1614	tags=80%, list=9%, signal=87%	
FCGR ACTIVATION%REACTOME%R-HSA-2029481.3	FCGR ACTIVATION%REACTOME%R-HSA-2029481.3	Details ...	60	0.85615057	2.0614	0.0	0.0	0.0	1978	tags=90%, list=11%, signal=101%	
HALLMARK_ALLOGRAFT_REJECTION%MSIGDBHALLMARK%HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION%MSIGDBHALLMARK%HALLMARK_ALLOGRAFT_REJECTION	Details ...	147	0.82403356	2.0608363	0.0	0.0	0.0	1634	tags=70%, list=9%, signal=76%	
CREATION OF C4 AND C2 ACTIVATORS%REACTOME%R-HSA-166786.4	CREATION OF C4 AND C2 ACTIVATORS%REACTOME%R-HSA-166786.4	Details ...	60	0.8560525	2.057265	0.0	0.0	0.0	1978	tags=88%, list=11%, signal=99%	
INITIAL TRIGGERING OF COMPLEMENT%REACTOME%R-HSA-166663.4	INITIAL TRIGGERING OF COMPLEMENT%REACTOME%R-HSA-166663.4	Details ...	66	0.8569396	2.0542386	0.0	0.0	0.0	1978	tags=88%, list=11%, signal=98%	
CLASSICAL ANTIBODY-MEDIATED COMPLEMENT ACTIVATION%REACTOME DATABASE ID RELEASE 91%173623	CLASSICAL ANTIBODY-MEDIATED COMPLEMENT ACTIVATION%REACTOME DATABASE ID RELEASE 91%173623	Details ...	55	0.8699802	2.0536883	0.0	0.0	0.0	1978	tags=95%, list=11%, signal=106%	
TYROBP CAUSAL NETWORK IN MICROGLIA%WIKIPATHWAYS_20250210%WP3945%HOMO SAPIENS	TYROBP CAUSAL NETWORK IN MICROGLIA%WIKIPATHWAYS_20250210%WP3945%HOMO SAPIENS	Details ...	42	0.87288177	2.042789	0.0	0.0	0.0	1419	tags=71%, list=8%, signal=77%	
ADAPTIVE IMMUNE RESPONSE%GOBP%GO:0002250	ADAPTIVE IMMUNE RESPONSE%GOBP%GO:0002250	Details ...	151	0.8157423	2.0414302	0.0	0.0	0.0	1979	tags=69%, list=11%, signal=77%	
CD22 MEDIATED BCR REGULATION%REACTOME DATABASE ID RELEASE 91%5690714	CD22 MEDIATED BCR REGULATION%REACTOME DATABASE ID RELEASE 91%5690714	Details ...	53	0.8391331	2.0194144	0.0	0.0	0.0	2196	tags=91%, list=12%, signal=103%	
REGULATION OF COMPLEMENT CASCADE%REACTOME DATABASE ID RELEASE 91%977606	REGULATION OF COMPLEMENT CASCADE%REACTOME DATABASE ID RELEASE 91%977606	Details ...	81	0.8273082	2.0162241	0.0	0.0	0.0	2107	tags=78%, list=11%, signal=87%	
COMPLEMENT CASCADE%REACTOME DATABASE ID RELEASE 91%166658	COMPLEMENT CASCADE%REACTOME DATABASE ID RELEASE 91%166658	Details ...	88	0.8200568	2.0081882	0.0	0.0	0.0	2107	tags=75%, list=11%, signal=84%	
POSITIVE REGULATION OF MONONUCLEAR CELL PROLIFERATION%GOBP%GO:0032946	POSITIVE REGULATION OF MONONUCLEAR CELL PROLIFERATION%GOBP%GO:0032946	Details ...	88	0.8135938	2.0051746	0.0	0.0	0.0	1682	tags=58%, list=9%, signal=64%	
