NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD8B	56	10.449982643127441	0.081915624	Yes	
row_1	CD3G	71	10.134791374206543	0.16356222	Yes	
row_2	PDCD1LG2	129	9.1834077835083	0.23512405	Yes	
row_3	CD8A	143	9.114038467407227	0.308525	Yes	
row_4	CD274	181	8.868427276611328	0.3786179	Yes	
row_5	PDCD1	188	8.783987998962402	0.44971737	Yes	
row_6	BATF	203	8.633627891540527	0.51915723	Yes	
row_7	CD3D	293	7.958776473999023	0.57901317	Yes	
row_8	HLA-A	510	6.67292594909668	0.6214767	Yes	
row_9	CD3E	595	6.3731842041015625	0.6687125	Yes	
row_10	LCK	629	6.199972152709961	0.71732527	Yes	
row_11	ZAP70	758	5.691863536834717	0.75661767	Yes	
row_12	HLA-DRB1	1161	4.467922210693359	0.7709922	Yes	
row_13	NFATC2	1195	4.375417232513428	0.8047686	Yes	
row_14	JUN	2219	3.0538151264190674	0.77372664	Yes	
row_15	NFKB1	2299	2.986485481262207	0.79369646	Yes	
row_16	NFATC1	2321	2.9626336097717285	0.8166402	Yes	
row_17	STAT3	2435	2.880756378173828	0.8338933	Yes	
row_18	PTPN11	6218	1.447564721107483	0.6390991	No	
row_19	NFAT5	7319	1.1800669431686401	0.5886151	No	
row_20	NFATC3	8201	0.9737515449523926	0.5484148	No	
row_21	NFATC4	10133	0.5848497748374939	0.44770327	No	
