NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TNF	54	10.449982643127441	0.12232868	Yes	
row_1	HLA-DRA	65	10.298373222351074	0.24524184	Yes	
row_2	IL1B	89	9.802396774291992	0.36149943	Yes	
row_3	IL7	165	8.952604293823242	0.46473083	Yes	
row_4	CD4	194	8.701943397521973	0.567523	Yes	
row_5	CXCL1	436	7.077311992645264	0.6392108	Yes	
row_6	CXCL2	585	6.401447296142578	0.7078733	Yes	
row_7	CSF1	712	5.868546485900879	0.7713482	Yes	
row_8	IL15	965	4.933203220367432	0.81673145	Yes	
row_9	TGFB1	1044	4.7283735275268555	0.8691581	Yes	
row_10	HLA-DRB1	1161	4.467922210693359	0.9163879	Yes	
row_11	IL11	8653	0.8826392292976379	0.5180272	No	
row_12	PDGFA	8791	0.850543737411499	0.5207447	No	
