NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TBX21	1	12.915299415588379	0.044313904	Yes	
row_1	SH2D1A	24	11.528533935546875	0.08271428	Yes	
row_2	SLAMF7	25	11.528533935546875	0.12231889	Yes	
row_3	TNF	54	10.449982643127441	0.15668564	Yes	
row_4	CD69	85	9.851913452148438	0.18888834	Yes	
row_5	PRDM1	103	9.475966453552246	0.22051111	Yes	
row_6	TNFSF13B	134	9.16575813293457	0.2503566	Yes	
row_7	ITGB2	183	8.848318099975586	0.27812633	Yes	
row_8	PDCD1	188	8.783987998962402	0.3080835	Yes	
row_9	PTPRC	222	8.467007637023926	0.33536434	Yes	
row_10	CD1D	274	8.117042541503906	0.36045763	Yes	
row_11	EBI3	312	7.86825704574585	0.3854626	Yes	
row_12	IRF4	325	7.757648944854736	0.41145605	Yes	
row_13	CD40	355	7.592649459838867	0.4359521	Yes	
row_14	ITGAX	453	6.946057319641113	0.45450473	Yes	
row_15	TLR7	466	6.8919148445129395	0.47752404	Yes	
row_16	BTLA	481	6.803097248077393	0.5001288	Yes	
row_17	CD79A	485	6.790514945983887	0.5232924	Yes	
row_18	IRF8	490	6.7766242027282715	0.5463536	Yes	
row_19	CD40LG	524	6.595555782318115	0.5672053	Yes	
row_20	GPR183	584	6.401447296142578	0.585967	Yes	
row_21	IFNAR2	680	6.002498626708984	0.6013877	Yes	
row_22	SELL	754	5.714735984802246	0.617024	Yes	
row_23	XBP1	755	5.707516670227051	0.6366313	Yes	
row_24	MS4A1	783	5.593506336212158	0.6543691	Yes	
row_25	ICOS	830	5.348803520202637	0.6702262	Yes	
row_26	IFIT2	951	4.948713779449463	0.6806583	Yes	
row_27	TLR4	1113	4.575882911682129	0.6875653	Yes	
row_28	FCRL5	1150	4.492586612701416	0.7010284	Yes	
row_29	CD19	1228	4.310536861419678	0.7116218	Yes	
row_30	C3	1301	4.171087741851807	0.7220099	Yes	
row_31	CCR7	1367	4.029793739318848	0.73229575	Yes	
row_32	IFITM1	1409	3.953016757965088	0.74363154	Yes	
row_33	CCL21	1554	3.718797206878662	0.7485247	Yes	
row_34	TMSB10	1676	3.582409620285034	0.7542083	Yes	
row_35	CXCR4	1765	3.481356382369995	0.7613511	Yes	
row_36	ETS1	1786	3.4610800743103027	0.7721464	Yes	
row_37	BACH2	1789	3.459207534790039	0.7839205	Yes	
row_38	PAX5	2238	3.0389604568481445	0.76983804	No	
row_39	STAT5A	2439	2.8795325756073	0.76878273	No	
row_40	BCL6	2745	2.6839020252227783	0.7613079	No	
row_41	CCL19	3059	2.5236754417419434	0.7528448	No	
row_42	CXCR5	3269	2.4199349880218506	0.749718	No	
row_43	CD22	3301	2.4117844104766846	0.75630647	No	
row_44	FOXO1	3418	2.362161159515381	0.7580718	No	
row_45	ZEB2	3454	2.3470468521118164	0.76421887	No	
row_46	LOC102723996	3941	2.1491730213165283	0.74499965	No	
row_47	ICOSLG	4983	1.7888543605804443	0.6941632	No	
row_48	CR1	6078	1.488222360610962	0.6393929	No	
row_49	ISG15	6957	1.2606624364852905	0.5956642	No	
row_50	NEAT1	7128	1.2208772897720337	0.5905529	No	
row_51	MFGE8	7427	1.1529260873794556	0.5782019	No	
row_52	CXCL12	8036	1.0056121349334717	0.5483761	No	
row_53	BLNK	8381	0.9350249171257019	0.53275853	No	
row_54	C4A	8526	0.9080919027328491	0.52799594	No	
row_55	CD82	10199	0.5733562111854553	0.43844444	No	
row_56	HSPA8	10301	0.5569996237754822	0.43482944	No	
row_57	SYK	10637	0.4992600083351135	0.4182075	No	
row_58	MAF	11005	0.43908077478408813	0.39962724	No	
row_59	TNFSF13	13804	0.014895460568368435	0.24652278	No	
row_60	CR2	14460	-0.06579722464084625	0.21089573	No	
row_61	BCR	15534	-0.2572912573814392	0.15304625	No	
