NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TBX21	1	12.915299415588379	0.0809005	Yes	
row_1	IL12RB1	10	12.141490936279297	0.15656814	Yes	
row_2	IL18RAP	15	11.919869422912598	0.23106521	Yes	
row_3	TNF	54	10.449982643127441	0.29449096	Yes	
row_4	IL21R	102	9.506460189819336	0.3515108	Yes	
row_5	IL12RB2	122	9.265835762023926	0.40855232	Yes	
row_6	HLA-DMA	152	9.060134887695312	0.46375808	Yes	
row_7	NOD2	159	8.991942405700684	0.51979315	Yes	
row_8	STAT4	342	7.6548871994018555	0.5578304	Yes	
row_9	TLR2	358	7.574115753173828	0.60448647	Yes	
row_10	IL2RG	433	7.109402656555176	0.6450059	Yes	
row_11	STAT1	464	6.893327236175537	0.68657506	Yes	
row_12	IFNGR1	907	5.064889907836914	0.6941709	Yes	
row_13	TGFB1	1044	4.7283735275268555	0.7163778	Yes	
row_14	TLR4	1113	4.575882911682129	0.7413445	Yes	
row_15	STAT6	1718	3.5370688438415527	0.7305118	Yes	
row_16	IL4R	1803	3.4496896266937256	0.74754506	Yes	
row_17	JUN	2219	3.0538151264190674	0.7440105	Yes	
row_18	NFKB1	2299	2.986485481262207	0.75841355	Yes	
row_19	NFATC1	2321	2.9626336097717285	0.77583635	Yes	
row_20	STAT3	2435	2.880756378173828	0.78771883	Yes	
row_21	FOXP3	2487	2.8493218421936035	0.80279213	Yes	
row_22	SMAD2	3403	2.366649866104126	0.7676294	No	
row_23	IL23A	3986	2.124842882156372	0.7491467	No	
row_24	RORA	8094	0.9972599744796753	0.5309837	No	
row_25	TLR5	10565	0.5106358528137207	0.39921916	No	
row_26	MAF	11005	0.43908077478408813	0.37798363	No	
row_27	IL18	11128	0.41922372579574585	0.3739451	No	
row_28	GATA3	12701	0.16115622222423553	0.2890583	No	
row_29	RORC	18267	-2.9460010528564453	0.0034425415	No	
