NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCL3	3	12.86151123046875	0.054930985	Yes	
row_1	CCL4	13	12.045753479003906	0.106039286	Yes	
row_2	TNF	54	10.449982643127441	0.148616	Yes	
row_3	CXCL11	62	10.414690971374512	0.1928467	Yes	
row_4	CCL4L2	83	9.8848295211792	0.2340965	Yes	
row_5	IL1B	89	9.802396774291992	0.2758137	Yes	
row_6	CCL13	117	9.303884506225586	0.31419197	Yes	
row_7	TNFSF13B	134	9.16575813293457	0.35258028	Yes	
row_8	IL7	165	8.952604293823242	0.38928968	Yes	
row_9	CXCL10	207	8.610737800598145	0.42393288	Yes	
row_10	XCL2	288	7.98898458480835	0.4537793	Yes	
row_11	XCL1	303	7.926309585571289	0.48696756	Yes	
row_12	EBI3	312	7.86825704574585	0.52023536	Yes	
row_13	CXCL9	419	7.182583332061768	0.5452052	Yes	
row_14	CXCL6	430	7.156766891479492	0.5753157	Yes	
row_15	CXCL1	436	7.077311992645264	0.60535944	Yes	
row_16	CCL5	461	6.89826774597168	0.63359684	Yes	
row_17	CXCL2	585	6.401447296142578	0.6542905	Yes	
row_18	CSF1	712	5.868546485900879	0.6725373	Yes	
row_19	CXCL16	721	5.8293938636779785	0.6970712	Yes	
row_20	LIF	929	5.0070905685424805	0.7071969	Yes	
row_21	IL15	965	4.933203220367432	0.7264148	Yes	
row_22	TGFB1	1044	4.7283735275268555	0.7424031	Yes	
row_23	IL1RN	1075	4.668214321136475	0.76075935	Yes	
row_24	CCL21	1554	3.718797206878662	0.7505423	No	
row_25	CCL11	1903	3.3248913288116455	0.74574906	No	
row_26	NFKB1	2299	2.986485481262207	0.73693514	No	
row_27	CCL2	2476	2.854810953140259	0.7395369	No	
row_28	MMP9	2718	2.7010107040405273	0.73792416	No	
row_29	CX3CL1	3020	2.540633201599121	0.73234236	No	
row_30	CXCL8	3022	2.5403313636779785	0.7431697	No	
row_31	CCL19	3059	2.5236754417419434	0.7520112	No	
row_32	IL33	3242	2.435272216796875	0.7524875	No	
row_33	CCL8	3292	2.412583351135254	0.76014197	No	
row_34	IL23A	3986	2.124842882156372	0.73133594	No	
row_35	CCL22	4054	2.097688674926758	0.73665684	No	
row_36	IL17D	4162	2.0588693618774414	0.7396234	No	
row_37	SPP1	5669	1.5962200164794922	0.66408056	No	
row_38	CXCL12	8036	1.0056121349334717	0.53896433	No	
row_39	CCL28	8378	0.9361765384674072	0.5243214	No	
row_40	TSLP	8418	0.9300284385681152	0.526172	No	
row_41	IL11	8653	0.8826392292976379	0.5171528	No	
row_42	IL18	11128	0.41922372579574585	0.38361686	No	
row_43	TNFSF13	13804	0.014895460568368435	0.2373539	No	
row_44	CXCL14	14040	-0.010665887966752052	0.22454472	No	
row_45	CTF1	14213	-0.02787528932094574	0.21525545	No	
row_46	CCL14	15127	-0.17317435145378113	0.16605471	No	
row_47	CCL15	15867	-0.3501737713813782	0.12713027	No	
row_48	VEGFA	16471	-0.5463889241218567	0.096485786	No	
row_49	EPO	17567	-1.2022082805633545	0.041737452	No	
