NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FASLG	38	10.669694900512695	0.027867626	Yes	
row_1	TNF	54	10.449982643127441	0.056378193	Yes	
row_2	CXCL11	62	10.414690971374512	0.08522784	Yes	
row_3	HLA-DRA	65	10.298373222351074	0.11402483	Yes	
row_4	CD86	86	9.84937858581543	0.14057574	Yes	
row_5	IL1B	89	9.802396774291992	0.16798057	Yes	
row_6	PRF1	118	9.300997734069824	0.19255407	Yes	
row_7	HLA-DMA	152	9.060134887695312	0.21617766	Yes	
row_8	HLA-DOB	184	8.845440864562988	0.23930815	Yes	
row_9	HLA-DPA1	197	8.689655303955078	0.26304194	Yes	
row_10	HLA-E	198	8.680892944335938	0.28740838	Yes	
row_11	FAS	230	8.378191947937012	0.30922735	Yes	
row_12	IL2RA	251	8.22802448272705	0.33122724	Yes	
row_13	HLA-DPB1	269	8.130353927612305	0.35311732	Yes	
row_14	HLA-DOA	275	8.102164268493652	0.37558547	Yes	
row_15	HLA-F	321	7.791678428649902	0.3949914	Yes	
row_16	GZMB	331	7.729992866516113	0.41619584	Yes	
row_17	GNLY	335	7.7177300453186035	0.43769446	Yes	
row_18	CD40	355	7.592649459838867	0.4579657	Yes	
row_19	HLA-DMB	379	7.47007942199707	0.47767383	Yes	
row_20	C1QC	392	7.313930988311768	0.4975461	Yes	
row_21	HLA-B	405	7.276066303253174	0.5173121	Yes	
row_22	CXCL9	419	7.182583332061768	0.5367609	Yes	
row_23	C1QB	439	7.06095027923584	0.5555397	Yes	
row_24	STAT1	464	6.893327236175537	0.57357424	Yes	
row_25	C1QA	472	6.884768486022949	0.5925157	Yes	
row_26	CTLA4	492	6.770595550537109	0.61047953	Yes	
row_27	HLA-A	510	6.67292594909668	0.62827873	Yes	
row_28	CD40LG	524	6.595555782318115	0.64607984	Yes	
row_29	HLA-DQA1	554	6.509274482727051	0.66276246	Yes	
row_30	CASP8	578	6.419449806213379	0.6795216	Yes	
row_31	CASP3	717	5.855906009674072	0.6884006	Yes	
row_32	CD28	791	5.523102283477783	0.69990546	Yes	
row_33	HLA-DQA2	802	5.471090316772461	0.7147146	Yes	
row_34	VIM	864	5.266363143920898	0.72615594	Yes	
row_35	HLA-C	877	5.217259883880615	0.74014306	Yes	
row_36	C2	1004	4.821250915527344	0.74677515	Yes	
row_37	TGFB1	1044	4.7283735275268555	0.75791126	Yes	
row_38	HLA-DRB1	1161	4.467922210693359	0.76409924	Yes	
row_39	C3	1301	4.171087741851807	0.76819444	Yes	
row_40	CD55	1462	3.8556876182556152	0.77025414	Yes	
row_41	CCL21	1554	3.718797206878662	0.7757086	Yes	
row_42	HLA-DQB1	1653	3.6140642166137695	0.7804857	Yes	
row_43	TUBA1B	1905	3.32475209236145	0.7760713	Yes	
row_44	HLA-G	1979	3.269975423812866	0.7812518	Yes	
row_45	FOXP3	2487	2.8493218421936035	0.7614824	No	
row_46	GABPA	2558	2.797455072402954	0.7655009	No	
row_47	PDGFRA	3013	2.543985366821289	0.74777716	No	
row_48	CXCL8	3022	2.5403313636779785	0.75446945	No	
row_49	CCL19	3059	2.5236754417419434	0.75958157	No	
row_50	CASP7	3100	2.5055220127105713	0.7644236	No	
row_51	CXCR5	3269	2.4199349880218506	0.7620152	No	
row_52	CSNK2A2	3338	2.3957443237304688	0.7650156	No	
row_53	HLA-DRB5	3439	2.3530287742614746	0.7661436	No	
row_54	C7	4046	2.100233554840088	0.73884964	No	
row_55	AGTR1	4155	2.060746192932129	0.73871905	No	
row_56	HARS1	5372	1.674155592918396	0.67682093	No	
row_57	C6	6109	1.4795126914978027	0.64066494	No	
row_58	LRRK2	7981	1.018930196762085	0.54105496	No	
row_59	CXCL12	8036	1.0056121349334717	0.54092014	No	
row_60	C4B	8295	0.9503974914550781	0.5294578	No	
row_61	C4A	8526	0.9080919027328491	0.5194102	No	
row_62	C5	9806	0.6470170021057129	0.45117867	No	
row_63	ABCB1	10034	0.6071357727050781	0.4404506	No	
row_64	COL5A1	12389	0.20903280377388	0.31211463	No	
row_65	MICA	14186	-0.024935919791460037	0.21382217	No	
row_66	GDNF	15075	-0.16396839916706085	0.16564886	No	
row_67	VEGFA	16471	-0.5463889241218567	0.09078184	No	
row_68	BHMT2	16501	-0.5578768253326416	0.090759486	No	
row_69	PECR	17018	-0.807818591594696	0.06476692	No	
row_70	CASP9	17410	-1.0633043050765991	0.046337415	No	
row_71	PRKCZ	17759	-1.4228837490081787	0.031272214	No	
