NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLEK	82	9.903335571289062	0.122826114	No	
row_1	MCL1	775	5.628554821014404	0.15730885	No	
row_2	SACS	1072	4.675564289093018	0.20121509	No	
row_3	LOC101930112	1399	3.9783437252044678	0.23451604	No	
row_4	STAT2	1926	3.3101673126220703	0.24828021	No	
row_5	SLC25A46	2595	2.770606517791748	0.24733563	No	
row_6	YME1L1	2999	2.550990343093872	0.2580724	No	
row_7	VCP	4457	1.952023983001709	0.20341882	No	
row_8	USP9X	5123	1.7462471723556519	0.18946958	No	
row_9	MARCHF5	6981	1.2562512159347534	0.10397754	No	
row_10	MSTO1	7182	1.2091246843338013	0.108574785	No	
row_11	PYCR1	7395	1.158877968788147	0.11186925	No	
row_12	MFN1	7420	1.1539076566696167	0.12538992	No	
row_13	OPA1	7524	1.1271153688430786	0.13424212	No	
row_14	XPNPEP3	7530	1.1260920763015747	0.14844516	No	
row_15	DNM1L	8913	0.8258797526359558	0.08341929	No	
row_16	UFD1	10095	0.5946027040481567	0.026421841	No	
row_17	NPLOC4	10492	0.5234835147857666	0.011476712	No	
row_18	AGK	10791	0.47579529881477356	0.0012825043	No	
row_19	TRAK1	10998	0.43958479166030884	-0.0043416386	No	
row_20	PYCR2	12002	0.2660837173461914	-0.055819687	No	
row_21	HTRA2	12111	0.25221243500709534	-0.05848865	No	
row_22	TIMM8A	12235	0.23434361815452576	-0.062208343	No	
row_23	SPG7	12655	0.168031707406044	-0.08298195	No	
row_24	UBXN1	12967	0.11805984377861023	-0.09848665	No	
row_25	MFN2	13481	0.053020987659692764	-0.12588385	No	
row_26	HSPA9	13491	0.051947131752967834	-0.12570864	No	
row_27	COQ5	13546	0.04547082632780075	-0.12807974	No	
row_28	MFF	13878	0.007110258098691702	-0.14610547	No	
row_29	PMPCB	13959	-0.00146399880759418	-0.15046541	No	
row_30	C1QBP	14196	-0.026095720008015633	-0.16304728	No	
row_31	OPA3	14449	-0.06355301290750504	-0.17602336	No	
row_32	CLPB	14800	-0.11714399605989456	-0.19367449	No	
row_33	TIMMDC1	14951	-0.14106425642967224	-0.20007119	No	
row_34	HSPD1	14982	-0.1450796276330948	-0.19984812	No	
row_35	PPA2	15055	-0.15844230353832245	-0.20175213	No	
row_36	OXA1L	15236	-0.19762305915355682	-0.20906375	No	
row_37	PITRM1	15314	-0.21273045241832733	-0.21054351	No	
row_38	ATAD3A	15532	-0.2568352222442627	-0.21911912	No	
row_39	AFG3L2	15579	-0.27006614208221436	-0.21816501	No	
row_40	GFER	15656	-0.290474534034729	-0.21859057	No	
row_41	TMEM126A	15737	-0.3127838373184204	-0.21894829	No	
row_42	TIMM50	15880	-0.35333043336868286	-0.22217828	No	
row_43	AIFM1	16151	-0.43970754742622375	-0.23130386	No	
row_44	MICU1	16182	-0.4492637813091278	-0.22717029	No	
row_45	SFXN4	17101	-0.8619223833084106	-0.26633596	Yes	
row_46	CLPP	17178	-0.9000788927078247	-0.25892466	Yes	
row_47	LONP1	17268	-0.948777973651886	-0.2515988	Yes	
row_48	MIPEP	17275	-0.9546998739242554	-0.23965389	Yes	
row_49	PAM16	17304	-0.9746426939964294	-0.22865674	Yes	
row_50	PRKN	17368	-1.018930196762085	-0.21900594	Yes	
row_51	PMPCA	17456	-1.1017290353775024	-0.20960435	Yes	
row_52	UBXN6	17655	-1.2927175760269165	-0.20382299	Yes	
row_53	RTN4IP1	17716	-1.3662934303283691	-0.1895424	Yes	
row_54	PYCR3	17767	-1.4327057600021362	-0.17386068	Yes	
row_55	COQ3	18172	-2.317601203918457	-0.16617905	Yes	
row_56	PINK1	18203	-2.4566991329193115	-0.13623849	Yes	
row_57	TXN2	18213	-2.5324509143829346	-0.10417465	Yes	
row_58	MICOS13	18241	-2.7335543632507324	-0.07051072	Yes	
row_59	DNAJC19	18261	-2.9136343002319336	-0.034093857	Yes	
row_60	TXNRD2	18265	-2.941558599472046	0.0035577444	Yes	
