NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD244	6	12.592845916748047	0.12034255	Yes	
row_1	PTPN22	42	10.62177848815918	0.22021398	Yes	
row_2	FCRL3	50	10.505291938781738	0.32049808	Yes	
row_3	IL2RA	251	8.22802448272705	0.38842198	Yes	
row_4	CIITA	278	8.062342643737793	0.4642592	Yes	
row_5	STAT4	342	7.6548871994018555	0.5341717	Yes	
row_6	CD40	355	7.592649459838867	0.6062726	Yes	
row_7	CTLA4	492	6.770595550537109	0.6637254	Yes	
row_8	TRAF1	795	5.507902145385742	0.7000144	Yes	
row_9	CCR6	844	5.322004318237305	0.7483912	Yes	
row_10	BLK	906	5.078848361968994	0.7937282	Yes	
row_11	HLA-DRB1	1161	4.467922210693359	0.8226726	Yes	
row_12	PHF19	1457	3.8680808544158936	0.8436304	Yes	
row_13	IL6ST	1682	3.579519748687744	0.8656998	Yes	
row_14	ITGAV	3995	2.1219494342803955	0.759791	No	
row_15	IRF5	4225	2.038092613220215	0.76681685	No	
row_16	SLC22A4	15844	-0.3448357582092285	0.13574314	No	
