NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TLR8	12	12.102863311767578	0.08303477	Yes	
row_1	CD86	86	9.84937858581543	0.14715406	Yes	
row_2	CD274	181	8.868427276611328	0.20334281	Yes	
row_3	IL2RB	182	8.85799789428711	0.2645952	Yes	
row_4	PDCD1	188	8.783987998962402	0.32506266	Yes	
row_5	CXCL10	207	8.610737800598145	0.3836218	Yes	
row_6	IL2RA	251	8.22802448272705	0.43816864	Yes	
row_7	IL2RG	433	7.109402656555176	0.47744057	Yes	
row_8	CCL5	461	6.89826774597168	0.5236664	Yes	
row_9	TLR7	466	6.8919148445129395	0.57110494	Yes	
row_10	CTLA4	492	6.770595550537109	0.6165572	Yes	
row_11	NFKB2	515	6.6434760093688965	0.66129434	Yes	
row_12	TGFBR2	694	5.946826934814453	0.692691	Yes	
row_13	TGFB1	1044	4.7283735275268555	0.70631945	Yes	
row_14	TLR4	1113	4.575882911682129	0.73424613	Yes	
row_15	IRAK4	1474	3.8381996154785156	0.7411181	Yes	
row_16	STAT6	1718	3.5370688438415527	0.75230014	Yes	
row_17	IL4R	1803	3.4496896266937256	0.7715651	Yes	
row_18	NFKB1	2299	2.986485481262207	0.76517165	Yes	
row_19	STAT3	2435	2.880756378173828	0.77771604	Yes	
row_20	CCL2	2476	2.854810953140259	0.7952714	Yes	
row_21	TRAF6	3755	2.2424449920654297	0.74095315	No	
row_22	SOCS1	4655	1.8913124799728394	0.7049138	No	
row_23	TGFB3	5198	1.721199631690979	0.6872031	No	
row_24	TGFB2	5351	1.6796391010284424	0.690513	No	
row_25	PIAS3	5923	1.533655047416687	0.6699211	No	
row_26	MIRLET7D	8823	0.8460883498191833	0.5173824	No	
row_27	MIR200A	11880	0.2872106432914734	0.35240126	No	
