NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCL3	3	12.86151123046875	0.09756964	Yes	
row_1	CCL4	13	12.045753479003906	0.18861267	Yes	
row_2	TNF	54	10.449982643127441	0.26583633	Yes	
row_3	KLRK1	73	10.087066650390625	0.34150392	Yes	
row_4	KLRC4-KLRK1	88	9.822834014892578	0.41538206	Yes	
row_5	FCGR3A	100	9.549310684204102	0.4873456	Yes	
row_6	PRF1	118	9.300997734069824	0.5570945	Yes	
row_7	CD96	172	8.907315254211426	0.62188554	Yes	
row_8	GZMB	331	7.729992866516113	0.671995	Yes	
row_9	MICB	400	7.286284923553467	0.7236486	Yes	
row_10	CCL5	461	6.89826774597168	0.7727907	Yes	
row_11	CD226	833	5.347554683685303	0.79316187	Yes	
row_12	MYC	946	4.963395595550537	0.82476074	Yes	
row_13	CCL2	2476	2.854810953140259	0.7629388	No	
row_14	BMI1	2583	2.7824931144714355	0.7782929	No	
row_15	PVR	3382	2.3734524250030518	0.7527411	No	
row_16	FOXO1	3418	2.362161159515381	0.7687792	No	
row_17	ADAM10	4624	1.9012001752853394	0.71740806	No	
row_18	ADAM17	5040	1.7694016695022583	0.70818585	No	
row_19	TIGIT	6427	1.3928582668304443	0.64306545	No	
row_20	NCR3LG1	9376	0.7341602444648743	0.48762178	No	
row_21	GATA2	12765	0.15203602612018585	0.3037214	No	
row_22	MICA	14186	-0.024935919791460037	0.22634915	No	
