NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TLR8	12	12.102863311767578	0.11326515	Yes	
row_1	TNF	54	10.449982643127441	0.20938867	Yes	
row_2	CXCL11	62	10.414690971374512	0.30703664	Yes	
row_3	CGAS	70	10.184197425842285	0.402515	Yes	
row_4	IL1B	89	9.802396774291992	0.49379894	Yes	
row_5	CXCL10	207	8.610737800598145	0.5684602	Yes	
row_6	CXCL9	419	7.182583332061768	0.6245457	Yes	
row_7	TLR7	466	6.8919148445129395	0.68690526	Yes	
row_8	IFIH1	1005	4.818477153778076	0.702882	Yes	
row_9	STING1	1018	4.789134502410889	0.74730533	Yes	
row_10	RIGI	1066	4.6850199699401855	0.78883743	Yes	
row_11	TBK1	1116	4.5606889724731445	0.82909006	Yes	
row_12	NFKB1	2299	2.986485481262207	0.7926566	No	
row_13	CCL2	2476	2.854810953140259	0.8099174	No	
row_14	IRF3	3619	2.2828588485717773	0.7690451	No	
row_15	TLR3	4415	1.9666776657104492	0.7441451	No	
row_16	MAVS	7057	1.236885666847229	0.611573	No	
row_17	IL18	11128	0.41922372579574585	0.39327252	No	
