NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GATM	13921	0.0020920257084071636	-0.7596375	No	
row_1	GLS2	14026	-0.008995202369987965	-0.7644498	No	
row_2	F7	15330	-0.2158258855342865	-0.8148342	No	
row_3	F10	16268	-0.47861796617507935	-0.81999296	Yes	
row_4	ASS1	16976	-0.7849738597869873	-0.78316367	Yes	
row_5	ASL	17355	-1.0042064189910889	-0.7073134	Yes	
row_6	GAMT	17488	-1.1320551633834839	-0.60575247	Yes	
row_7	GPT	17768	-1.4342869520187378	-0.48317727	Yes	
row_8	NAGS	17783	-1.4453308582305908	-0.34507668	Yes	
row_9	GOT1	18307	-3.9018075466156006	0.0012553774	Yes	
