NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LDHA	5284	1.6956483125686646	-0.15282802	No	
row_1	HAO1	16052	-0.40334320068359375	-0.7082913	Yes	
row_2	GOT2	16374	-0.5155511498451233	-0.6845848	Yes	
row_3	ALDH4A1	16558	-0.5825310945510864	-0.6479893	Yes	
row_4	SLC26A1	16577	-0.5907842516899109	-0.6017271	Yes	
row_5	DAO	16812	-0.6940447092056274	-0.55899775	Yes	
row_6	PRODH2	16814	-0.6953625082969666	-0.5034447	Yes	
row_7	HOGA1	17290	-0.963758111000061	-0.45230147	Yes	
row_8	AGXT	18035	-1.895545244216919	-0.34132728	Yes	
row_9	GRHPR	18101	-2.088068962097168	-0.17789377	Yes	
row_10	PXMP2	18188	-2.38015079498291	0.007751052	Yes	
