NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LDHA	5284	1.6956483125686646	-0.14446387	No	
row_1	PDHX	13506	0.05001482740044594	-0.5890101	No	
row_2	LDHC	13614	0.035195790231227875	-0.5918625	No	
row_3	SUCLA2	13789	0.01588822342455387	-0.6000121	No	
row_4	SUCLG2	14064	-0.013234616257250309	-0.6138462	No	
row_5	DHTKD1	14410	-0.05675702169537544	-0.6278603	No	
row_6	PCK2	16883	-0.7353140115737915	-0.70036614	Yes	
row_7	SUCLG1	17545	-1.1783045530319214	-0.6363885	Yes	
row_8	DLST	17713	-1.3629257678985596	-0.52976465	Yes	
row_9	GPT	17768	-1.4342869520187378	-0.41091195	Yes	
row_10	FH	17809	-1.4861187934875488	-0.2868934	Yes	
row_11	LDHB	17901	-1.6305474042892456	-0.15339404	Yes	
row_12	MPC1	18100	-2.08146071434021	0.012555956	Yes	
