NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COX19	6781	1.3062083721160889	-0.34203815	No	
row_1	COX18	9019	0.8043219447135925	-0.44670668	No	
row_2	CMC1	9098	0.7893499135971069	-0.43370524	No	
row_3	HIGD1A	10821	0.4687037169933319	-0.51756763	No	
row_4	COX11	10935	0.44858476519584656	-0.51393217	No	
row_5	COX15	11263	0.39330676198005676	-0.5232017	No	
row_6	COX16	12028	0.2623942792415619	-0.5592181	No	
row_7	COX20	13152	0.0957694724202156	-0.6184997	No	
row_8	PET117	13664	0.028036095201969147	-0.64581454	No	
row_9	COX10	14204	-0.026589825749397278	-0.6746914	No	
row_10	COA6	16194	-0.45106932520866394	-0.77353203	No	
row_11	SMIM20	16293	-0.48875659704208374	-0.76819813	No	
row_12	PNKD	16434	-0.5363919138908386	-0.76411784	No	
row_13	PET100	17065	-0.8389397859573364	-0.78020066	Yes	
row_14	COX17	17131	-0.8782349228858948	-0.7645446	Yes	
row_15	COX1	17149	-0.8864678740501404	-0.7460851	Yes	
row_16	COX5B	17186	-0.908204972743988	-0.72818863	Yes	
row_17	COX14	17444	-1.0922222137451172	-0.7183459	Yes	
row_18	COX5A	17470	-1.1124528646469116	-0.6953809	Yes	
row_19	TACO1	17695	-1.3391494750976562	-0.6783338	Yes	
row_20	SURF1	17707	-1.358176589012146	-0.64922935	Yes	
row_21	COX7A2	17886	-1.609594464302063	-0.6237531	Yes	
row_22	COX7C	17945	-1.713739275932312	-0.5894405	Yes	
row_23	NDUFA4	17982	-1.7887789011001587	-0.55228436	Yes	
row_24	COX3	18030	-1.8837265968322754	-0.5136527	Yes	
row_25	COX6C	18048	-1.9167221784591675	-0.47265977	Yes	
row_26	COX8A	18085	-2.023794174194336	-0.4303634	Yes	
row_27	COX7B	18119	-2.139129161834717	-0.38538048	Yes	
row_28	COA3	18151	-2.250049352645874	-0.33786225	Yes	
row_29	COX2	18207	-2.4884934425354004	-0.28644052	Yes	
row_30	COX4I1	18252	-2.8267524242401123	-0.2270193	Yes	
row_31	COX6B1	18286	-3.2162554264068604	-0.15847775	Yes	
row_32	COX6A1	18293	-3.4322714805603027	-0.08373593	Yes	
row_33	TMEM177	18308	-3.918457269668579	0.0012024074	Yes	
