NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPS6KA3	945	4.981234550476074	0.09385276	No	
row_1	RPS6KB1	3157	2.482114553451538	0.045238912	No	
row_2	RPL10	7670	1.0934985876083374	-0.17010152	Yes	
row_3	RPS2	7925	1.0325143337249756	-0.15383334	Yes	
row_4	RPL5	8008	1.0135856866836548	-0.12869085	Yes	
row_5	RPL9	8552	0.9041587710380554	-0.1320166	Yes	
row_6	RPL22	8745	0.8604810833930969	-0.117380254	Yes	
row_7	RPL39	8888	0.8294549584388733	-0.10091048	Yes	
row_8	RPS6KA2	8960	0.8137113451957703	-0.081009366	Yes	
row_9	RPS3	8997	0.8083704113960266	-0.05934597	Yes	
row_10	RPL36A	9251	0.7609743475914001	-0.05096276	Yes	
row_11	RPL12	9695	0.6713651418685913	-0.05561409	Yes	
row_12	RPL21	9706	0.6686752438545227	-0.036610246	Yes	
row_13	RPS3A	9821	0.646142840385437	-0.023965746	Yes	
row_14	RPS12	10062	0.6014924645423889	-0.019533198	Yes	
row_15	RPL15	10287	0.5594714879989624	-0.015452339	Yes	
row_16	RPS27A	10388	0.5406602621078491	-0.0051247613	Yes	
row_17	RPS27	10419	0.5369093418121338	0.008930018	Yes	
row_18	RPL35A	10844	0.4651400148868561	-7.098694E-4	Yes	
row_19	RPS19	10860	0.4615398943424225	0.011963306	Yes	
row_20	RPS15A	10923	0.4510135352611542	0.021752503	Yes	
row_21	RPS4Y1	10967	0.44448229670524597	0.032392167	Yes	
row_22	RPS25	10978	0.4428205192089081	0.044792052	Yes	
row_23	RPS8	10989	0.44200363755226135	0.05716805	Yes	
row_24	RPS18	11114	0.4227433502674103	0.06273226	Yes	
row_25	RPSA	11298	0.38756248354911804	0.064033836	Yes	
row_26	RPL10A	11385	0.37022972106933594	0.07014542	Yes	
row_27	RPS13	11404	0.3676455318927765	0.0799087	Yes	
row_28	RPL7	11553	0.344157338142395	0.08185956	Yes	
row_29	RPS23	11707	0.31567099690437317	0.08270341	Yes	
row_30	RPL38	11749	0.30906838178634644	0.089493215	Yes	
row_31	RPLP0	11812	0.2967594861984253	0.09477205	Yes	
row_32	RPL34	11962	0.2716800570487976	0.094548866	Yes	
row_33	RPS6KA1	12083	0.25550949573516846	0.09544242	Yes	
row_34	RPL13	12132	0.2478007972240448	0.10005708	Yes	
row_35	RPL17	12187	0.241303488612175	0.10415289	Yes	
row_36	RPL37	12265	0.2282584011554718	0.106606565	Yes	
row_37	MRPL19	12282	0.2256389558315277	0.11232722	Yes	
row_38	RPL11	12388	0.20908941328525543	0.11268564	Yes	
