NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IDH3A	9357	0.7399476170539856	-0.48204055	No	
row_1	CS	13632	0.03251206502318382	-0.7141565	No	
row_2	SUCLA2	13789	0.01588822342455387	-0.7220543	No	
row_3	SUCLG2	14064	-0.013234616257250309	-0.7364993	No	
row_4	SDHC	16387	-0.5205659866333008	-0.84295726	Yes	
row_5	SDHD	16538	-0.5718660354614258	-0.8288067	Yes	
row_6	DLD	16959	-0.7767595648765564	-0.82139516	Yes	
row_7	SUCLG1	17545	-1.1783045530319214	-0.8073062	Yes	
row_8	DLST	17713	-1.3629257678985596	-0.7631791	Yes	
row_9	OGDH	17723	-1.376084327697754	-0.7099103	Yes	
row_10	FH	17809	-1.4861187934875488	-0.6564927	Yes	
row_11	ACO2	17902	-1.632296085357666	-0.5977466	Yes	
row_12	SDHB	17946	-1.7180801630020142	-0.53297347	Yes	
row_13	IDH3G	18039	-1.9031376838684082	-0.4636462	Yes	
row_14	IDH3B	18083	-2.0222344398498535	-0.38699046	Yes	
row_15	MDH2	18191	-2.3907594680786133	-0.2994321	Yes	
row_16	SDHA	18200	-2.442700147628784	-0.20443854	Yes	
row_17	IDH2	18327	-5.413250923156738	1.6374813E-4	Yes	
