NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TLR8	12	12.102863311767578	0.06039899	Yes	
row_1	SLAMF1	47	10.505291938781738	0.111535616	Yes	
row_2	IL21R	102	9.506460189819336	0.15653971	Yes	
row_3	POU2F2	156	9.00894546508789	0.19908868	Yes	
row_4	SPI1	250	8.229142189025879	0.23551632	Yes	
row_5	TLR10	305	7.91666841506958	0.2725004	Yes	
row_6	TLR6	320	7.79679536819458	0.31106722	Yes	
row_7	IRF4	325	7.757648944854736	0.34998342	Yes	
row_8	CD40	355	7.592649459838867	0.38670012	Yes	
row_9	TLR2	358	7.574115753173828	0.42479983	Yes	
row_10	LYN	395	7.305604934692383	0.45968565	Yes	
row_11	POU2AF1	432	7.135726451873779	0.49371448	Yes	
row_12	TLR7	466	6.8919148445129395	0.5266774	Yes	
row_13	CD79A	485	6.790514945983887	0.5599491	Yes	
row_14	IRF8	490	6.7766242027282715	0.59391636	Yes	
row_15	TLR1	689	5.9649834632873535	0.6131799	Yes	
row_16	MYC	946	4.963395595550537	0.62421894	Yes	
row_17	TLR4	1113	4.575882911682129	0.6382249	Yes	
row_18	EZH2	1393	3.9820549488067627	0.64305556	Yes	
row_19	TLR9	1398	3.9786810874938965	0.662908	Yes	
row_20	MEF2C	1546	3.7254786491394043	0.67366296	Yes	
row_21	STAT6	1718	3.5370688438415527	0.682155	Yes	
row_22	IL4R	1803	3.4496896266937256	0.69496393	Yes	
row_23	CCND2	2035	3.207714557647705	0.69851327	Yes	
row_24	CD79B	2196	3.074608087539673	0.70527387	Yes	
row_25	NFKB1	2299	2.986485481262207	0.71476173	Yes	
row_26	E2F1	2313	2.9729807376861572	0.72904855	Yes	
row_27	STAT3	2435	2.880756378173828	0.736964	Yes	
row_28	CCND3	2725	2.698986768722534	0.7347751	Yes	
row_29	BCL6	2745	2.6839020252227783	0.74727553	Yes	
row_30	SPIB	2752	2.677870035171509	0.76045644	Yes	
row_31	CDKN1A	3019	2.540633201599121	0.75872654	No	
row_32	CDKN1B	3385	2.373257875442505	0.75073826	No	
row_33	LOC102723996	3941	2.1491730213165283	0.73122907	No	
row_34	TCF4	4336	1.9982380867004395	0.71976304	No	
row_35	TLR3	4415	1.9666776657104492	0.72541875	No	
row_36	ICOSLG	4983	1.7888543605804443	0.70343566	No	
row_37	ID3	7867	1.0432120561599731	0.5510367	No	
row_38	TCF3	8441	0.9254746437072754	0.52437	No	
row_39	TLR5	10565	0.5106358528137207	0.41084626	No	
row_40	SYK	10637	0.4992600083351135	0.40948215	No	
row_41	MEF2B	12209	0.23842063546180725	0.32477218	No	
row_42	BCR	15534	-0.2572912573814392	0.14429171	No	
row_43	BORCS8-MEF2B	16748	-0.664771556854248	0.081310384	No	
row_44	BCL2L1	17370	-1.020709753036499	0.05249914	No	
