NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TTC19	7270	1.1906099319458008	-0.35317522	No	
row_1	LYRM7	9951	0.6216726899147034	-0.4766505	No	
row_2	BCS1L	14066	-0.013736311346292496	-0.7007702	No	
row_3	UQCC1	14827	-0.1222359761595726	-0.7377728	No	
row_4	UQCC2	16999	-0.7968840003013611	-0.8270158	Yes	
row_5	UQCRB	17378	-1.0284878015518188	-0.8098471	Yes	
row_6	UQCRQ	17755	-1.4199731349945068	-0.7781781	Yes	
row_7	CYTB	17857	-1.55207359790802	-0.726638	Yes	
row_8	UQCC3	18008	-1.8479223251342773	-0.6668979	Yes	
row_9	UQCRH	18026	-1.880515217781067	-0.5986978	Yes	
row_10	UQCR11	18032	-1.886152982711792	-0.52963525	Yes	
row_11	UQCR10	18040	-1.9043848514556885	-0.4600117	Yes	
row_12	UQCRFS1	18063	-1.9664044380187988	-0.38892728	Yes	
row_13	UQCRC2	18165	-2.2972891330718994	-0.30999285	Yes	
row_14	UQCRC1	18309	-3.9510512351989746	-0.17255884	Yes	
row_15	CYC1	18324	-4.7238688468933105	3.2757415E-4	Yes	
