NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FASLG	38	10.669694900512695	0.033660192	No	
row_1	TNF	54	10.449982643127441	0.067848995	No	
row_2	IL1B	89	9.802396774291992	0.09882319	No	
row_3	FAS	230	8.378191947937012	0.11919646	No	
row_4	CASP8	578	6.419449806213379	0.12162378	No	
row_5	TNFRSF1A	675	6.02470064163208	0.13653104	No	
row_6	CASP3	717	5.855906009674072	0.1538972	No	
row_7	XBP1	755	5.707516670227051	0.17098613	No	
row_8	VCAM1	891	5.128414630889893	0.18074568	No	
row_9	PIK3CD	1025	4.779961109161377	0.18944767	No	
row_10	TGFB1	1044	4.7283735275268555	0.2043007	No	
row_11	CDC42	1114	4.572606086730957	0.21582732	No	
row_12	BID	1370	4.025080680847168	0.21529119	No	
row_13	RAC1	1561	3.7106149196624756	0.21727578	No	
row_14	MAP3K5	1623	3.638115882873535	0.22611123	No	
row_15	SOCS3	1640	3.625344753265381	0.23737845	No	
row_16	CEBPA	1777	3.47239089012146	0.24153434	No	
row_17	BBC3	2009	3.232374429702759	0.23966193	No	
row_18	EIF2AK3	2108	3.1509337425231934	0.24483038	No	
row_19	JUN	2219	3.0538151264190674	0.24901353	No	
row_20	NFKB1	2299	2.986485481262207	0.2546758	No	
row_21	CCL2	2476	2.854810953140259	0.2545628	No	
row_22	EIF2S1	2747	2.683292865753174	0.24870603	No	
row_23	ERN1	2790	2.6600141525268555	0.25530908	No	
row_24	CXCL8	3022	2.5403313636779785	0.25111791	No	
row_25	CASP7	3100	2.5055220127105713	0.25527865	No	
row_26	PIK3CA	3112	2.5011820793151855	0.2630542	No	
row_27	MLXIP	3897	2.1764254570007324	0.22723407	No	
row_28	IKBKB	4175	2.0550413131713867	0.21888734	No	
row_29	RELA	4430	1.963699460029602	0.21149935	No	
row_30	PRKAG3	4869	1.8212194442749023	0.19351573	No	
row_31	PRKAA1	4952	1.7992181777954102	0.19503497	No	
row_32	PRKAG1	5325	1.684328317642212	0.18022205	No	
row_33	BCL2L11	5827	1.5572290420532227	0.15788952	No	
row_34	ITCH	5897	1.5410008430480957	0.15925846	No	
row_35	TRAF2	5954	1.5228924751281738	0.16128159	No	
row_36	ATF4	6205	1.450608491897583	0.1523944	No	
row_37	PIK3R1	6286	1.4296246767044067	0.15278526	No	
row_38	MAPK9	6390	1.402604579925537	0.15182081	No	
row_39	GSK3B	6754	1.3144911527633667	0.13626362	No	
row_40	IRS2	7265	1.1911678314208984	0.112209655	No	
row_41	AKT3	7342	1.1728038787841797	0.11195998	No	
row_42	BAK1	7551	1.1189550161361694	0.10427114	No	
row_43	MAPK8	7630	1.1012600660324097	0.103671774	No	
row_44	PRKAB2	7661	1.0949344635009766	0.10569075	No	
row_45	IL6R	8000	1.0150747299194336	0.0905051	No	
row_46	PIK3R3	8113	0.9926967620849609	0.0876723	No	
row_47	COX6A2	8772	0.8552794456481934	0.054354332	No	
row_48	LEPR	9182	0.7724905610084534	0.03445157	No	
row_49	BAX	9184	0.7722932696342468	0.03698422	No	
row_50	MAP3K11	9358	0.7396860122680664	0.029949274	No	
row_51	ADIPOR2	9540	0.7008885741233826	0.022344409	No	
row_52	PIK3CB	9769	0.6558784246444702	0.012004186	No	
row_53	PRKAB1	10300	0.5572560429573059	-0.015273575	No	
row_54	NR1H4	10607	0.5035470128059387	-0.030413449	No	
row_55	SMAD7	10731	0.4871734082698822	-0.035544943	No	
row_56	AKT1	10800	0.47426021099090576	-0.037695237	No	
row_57	RXRA	11477	0.3537948727607727	-0.07368331	No	
row_58	ADIPOR1	12167	0.24345149099826813	-0.11075597	No	
row_59	DDIT3	13011	0.11126882582902908	-0.15674004	No	
row_60	AKT2	13077	0.10345974564552307	-0.15996777	No	
row_61	MLX	13314	0.0738588273525238	-0.17269802	No	
row_62	PRKAG2	13509	0.049616001546382904	-0.18319991	No	
row_63	NR1H3	13583	0.0401649996638298	-0.18707964	No	
row_64	INSR	13932	0.0015404410660266876	-0.20621112	No	
row_65	IRS1	14007	-0.007228934206068516	-0.21025619	No	
row_66	PIK3R2	14588	-0.08083076775074005	-0.24187978	No	
row_67	CYP2E1	14654	-0.09140139818191528	-0.2451479	No	
row_68	PRKAA2	14890	-0.1314336657524109	-0.25763026	No	
row_69	NDUFS1	15223	-0.19611527025699615	-0.27522996	No	
row_70	NDUFV3	15787	-0.3255195915699005	-0.30509886	No	
row_71	CYCS	15882	-0.3534075915813446	-0.30908382	No	
row_72	NDUFA12	15988	-0.3819851279258728	-0.31357795	No	
row_73	GSK3A	16055	-0.40618303418159485	-0.31584635	No	
row_74	COX7A2L	16173	-0.4470365345478058	-0.3207824	No	
row_75	NDUFA4L2	16201	-0.4541310966014862	-0.32074553	No	
row_76	MLXIPL	16301	-0.4900994300842285	-0.32454744	No	
row_77	NDUFS5	16386	-0.5197198987007141	-0.32742527	No	
row_78	SDHC	16387	-0.5205659866333008	-0.32568106	No	
row_79	NDUFB5	16450	-0.5409125089645386	-0.32727808	No	
row_80	NDUFA5	16524	-0.5667247772216797	-0.3293935	No	
row_81	SDHD	16538	-0.5718660354614258	-0.3281923	No	
row_82	PPARA	16609	-0.6056138277053833	-0.33001247	No	
row_83	PKLR	16679	-0.6317113637924194	-0.3316902	No	
row_84	NDUFB4	16919	-0.7563404440879822	-0.3422987	No	
row_85	NDUFS4	16940	-0.7667967677116394	-0.34082928	No	
row_86	NDUFB3	16963	-0.7791810035705566	-0.33942834	No	
row_87	NDUFAB1	16986	-0.7891775369644165	-0.33799392	No	
row_88	COX1	17149	-0.8864678740501404	-0.34393215	Yes	
row_89	COX5B	17186	-0.908204972743988	-0.3428688	Yes	
row_90	NDUFV2	17205	-0.9198659062385559	-0.34077653	Yes	
row_91	SREBF1	17258	-0.9453274607658386	-0.34046862	Yes	
row_92	UQCRB	17378	-1.0284878015518188	-0.34356642	Yes	
row_93	NDUFC2	17425	-1.081351637840271	-0.3424728	Yes	
row_94	COX5A	17470	-1.1124528646469116	-0.341165	Yes	
row_95	NDUFC1	17504	-1.141251802444458	-0.33915582	Yes	
row_96	NDUFA2	17650	-1.2901557683944702	-0.34280664	Yes	
row_97	NDUFA6	17652	-1.2914193868637085	-0.3385346	Yes	
row_98	NDUFB1	17672	-1.3159228563308716	-0.3351703	Yes	
row_99	COX4I2	17676	-1.3219788074493408	-0.33090585	Yes	
row_100	UQCRQ	17755	-1.4199731349945068	-0.33043733	Yes	
row_101	NDUFA9	17820	-1.5031641721725464	-0.32892022	Yes	
row_102	NDUFA10	17856	-1.5504610538482666	-0.32564992	Yes	
row_103	CYTB	17857	-1.55207359790802	-0.32044956	Yes	
row_104	COX7A2	17886	-1.609594464302063	-0.31659618	Yes	
row_105	NDUFB2	17916	-1.6576520204544067	-0.3126368	Yes	
row_106	COX7C	17945	-1.713739275932312	-0.30843446	Yes	
row_107	SDHB	17946	-1.7180801630020142	-0.30267787	Yes	
row_108	NDUFA4	17982	-1.7887789011001587	-0.29860908	Yes	
row_109	NDUFB6	18014	-1.8603531122207642	-0.29408047	Yes	
row_110	UQCRH	18026	-1.880515217781067	-0.28838453	Yes	
row_111	COX3	18030	-1.8837265968322754	-0.2822379	Yes	
row_112	UQCR11	18032	-1.886152982711792	-0.27597314	Yes	
row_113	UQCR10	18040	-1.9043848514556885	-0.26997727	Yes	
row_114	NDUFA1	18047	-1.9167221784591675	-0.26388505	Yes	
row_115	COX6C	18048	-1.9167221784591675	-0.2574629	Yes	
row_116	UQCRFS1	18063	-1.9664044380187988	-0.25164413	Yes	
row_117	NDUFS6	18072	-1.9945988655090332	-0.24540095	Yes	
row_118	NDUFB10	18079	-2.0116031169891357	-0.23899083	Yes	
row_119	COX8A	18085	-2.023794174194336	-0.23248486	Yes	
row_120	NDUFB11	18098	-2.0759198665618896	-0.22618918	Yes	
row_121	NDUFC2-KCTD14	18116	-2.1304619312286377	-0.2199857	Yes	
row_122	COX7B	18119	-2.139129161834717	-0.21292832	Yes	
row_123	NDUFA3	18124	-2.154454469680786	-0.20592958	Yes	
row_124	NDUFS2	18127	-2.167240858078003	-0.19877802	Yes	
row_125	NDUFS7	18129	-2.183915376663208	-0.1915156	Yes	
row_126	UQCRC2	18165	-2.2972891330718994	-0.18574296	Yes	
row_127	NDUFA11	18171	-2.317601203918457	-0.17825258	Yes	
row_128	SDHA	18200	-2.442700147628784	-0.1716078	Yes	
row_129	NDUFB8	18206	-2.461864948272705	-0.16363405	Yes	
row_130	COX2	18207	-2.4884934425354004	-0.15529612	Yes	
row_131	COX7A1	18212	-2.5260891914367676	-0.14705217	Yes	
row_132	NDUFA13	18225	-2.637543201446533	-0.13887471	Yes	
row_133	NDUFA7	18238	-2.7154552936553955	-0.13043621	Yes	
row_134	COX4I1	18252	-2.8267524242401123	-0.12167978	Yes	
row_135	NDUFS8	18258	-2.8925557136535645	-0.11226295	Yes	
row_136	NDUFS3	18259	-2.900494337081909	-0.10254457	Yes	
row_137	NDUFB9	18268	-2.95674729347229	-0.09307763	Yes	
row_138	NDUFA8	18277	-3.066063404083252	-0.08324441	Yes	
row_139	UQCRHL	18285	-3.214409351348877	-0.07285916	Yes	
row_140	COX6B1	18286	-3.2162554264068604	-0.06208279	Yes	
row_141	COX6A1	18293	-3.4322714805603027	-0.05091258	Yes	
row_142	NDUFV1	18296	-3.4997785091400146	-0.03929622	Yes	
row_143	NDUFB7	18299	-3.5619468688964844	-0.02747156	Yes	
row_144	UQCRC1	18309	-3.9510512351989746	-0.014728099	Yes	
row_145	CYC1	18324	-4.7238688468933105	3.298067E-4	Yes	
