NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL1B	89	9.802396774291992	0.10355103	Yes	
row_1	ICAM1	154	9.046262741088867	0.20010453	Yes	
row_2	SELPLG	238	8.32901668548584	0.2876882	Yes	
row_3	CD40	355	7.592649459838867	0.36532614	Yes	
row_4	TLR2	358	7.574115753173828	0.4489835	Yes	
row_5	CCL5	461	6.89826774597168	0.51970625	Yes	
row_6	TLR7	466	6.8919148445129395	0.59570956	Yes	
row_7	CD40LG	524	6.595555782318115	0.66554147	Yes	
row_8	SELE	654	6.084318161010742	0.7257881	Yes	
row_9	VCAM1	891	5.128414630889893	0.7696206	Yes	
row_10	TGFB1	1044	4.7283735275268555	0.81361526	Yes	
row_11	TLR4	1113	4.575882911682129	0.8605098	Yes	
row_12	CCL2	2476	2.854810953140259	0.81771755	No	
row_13	TGFB3	5198	1.721199631690979	0.6881866	No	
row_14	TGFB2	5351	1.6796391010284424	0.6984635	No	
row_15	SELP	8485	0.9164940118789673	0.5375375	No	
