NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCL3	3	12.86151123046875	0.08936218	Yes	
row_1	TNF	54	10.449982643127441	0.1593708	Yes	
row_2	CASP1	84	9.87515640258789	0.22652534	Yes	
row_3	IL1B	89	9.802396774291992	0.2945391	Yes	
row_4	KLRD1	176	8.874618530273438	0.3516154	Yes	
row_5	CXCL10	207	8.610737800598145	0.40991396	Yes	
row_6	NLRP3	347	7.640892505645752	0.45550734	Yes	
row_7	CXCL9	419	7.182583332061768	0.5016252	Yes	
row_8	PYCARD	425	7.171306133270264	0.5512699	Yes	
row_9	CXCL1	436	7.077311992645264	0.59998715	Yes	
row_10	CSF1	712	5.868546485900879	0.6258144	Yes	
row_11	CCR2	752	5.718742370605469	0.66349083	Yes	
row_12	PIK3CG	768	5.646885395050049	0.7019781	Yes	
row_13	CD28	791	5.523102283477783	0.7392214	Yes	
row_14	TGFB1	1044	4.7283735275268555	0.75836855	Yes	
row_15	PTGER4	1252	4.263448715209961	0.7767377	Yes	
row_16	PTGER2	1359	4.033745288848877	0.7990252	Yes	
row_17	AHR	1522	3.7618117332458496	0.8163608	Yes	
row_18	NFKB1	2299	2.986485481262207	0.79475856	Yes	
row_19	CCL2	2476	2.854810953140259	0.8050159	Yes	
row_20	MMP9	2718	2.7010107040405273	0.81065196	Yes	
row_21	CXCL8	3022	2.5403313636779785	0.81178266	Yes	
row_22	IRF7	3158	2.4808192253112793	0.82167643	Yes	
row_23	PTGES	10864	0.4611894190311432	0.40398645	No	
row_24	VEGFA	16471	-0.5463889241218567	0.10155135	No	
