"","logFC","logCPM","F","PValue","FDR","neglogFC","DE","top30"
"MIR155HG",-1.94467192949772,1.76280893109265,187.387451733565,6.78944432009662e-21,1.24457303831691e-16,1.94467192949772,"UP","MIR155HG"
"TBX21",-2.55909704250404,1.99692337244668,138.050373975169,1.326002509557e-17,1.21534760013447e-13,2.55909704250404,"UP","TBX21"
"FPR1",-1.92632739418927,1.89290274126334,139.044406629831,2.32731882444762e-17,1.37558802251923e-13,1.92632739418927,"UP","FPR1"
"CCL3",-2.43307461605351,1.76531133002028,134.382433730586,3.33310925310486e-17,1.37558802251923e-13,2.43307461605351,"UP","CCL3"
"LYPD5",-2.7439028496701,2.05740743041204,131.642976084711,3.7520812353915e-17,1.37558802251923e-13,2.7439028496701,"UP","LYPD5"
"CLEC12A",-2.73691177468852,2.00468217998404,129.746122376256,5.02023638014315e-17,1.53376588474007e-13,2.73691177468852,"UP","CLEC12A"
"CD244",-2.37797982800302,1.7811683787656,126.00616914915,9.75138208723843e-17,2.55360835773097e-13,2.37797982800302,"UP","CD244"
"PYHIN1",-2.88914682838908,2.01198109729025,124.869896597042,1.39627496286891e-16,3.19938954304375e-13,2.88914682838908,"UP","PYHIN1"
"SH2D2A",-2.23063379492209,1.98871623258624,126.128679103607,1.73824081864121e-16,3.54041027183466e-13,2.23063379492209,"UP","SH2D2A"
"FCRL6",-2.41568603080929,2.00022508840733,123.193269266897,1.93991737751103e-16,3.55606254471548e-13,2.41568603080929,"UP","FCRL6"
"IL12RB1",-2.01291081446002,2.46106391627219,161.588961048695,4.33226896997821e-16,7.21952931715186e-13,2.01291081446002,"UP","IL12RB1"
"CXCR2P1",-3.43497016259913,2.28976895617598,117.335429640113,5.380270896752e-16,7.89109049435625e-13,3.43497016259913,"UP","CXCR2P1"
"TLR8",-2.5544461699294,2.30088829378621,128.005909175008,5.59621277762431e-16,7.89109049435625e-13,2.5544461699294,"UP","TLR8"
"CCL4",-2.75323909655977,2.4574978593086,129.543675756523,6.87366690132061e-16,9.00008485486487e-13,2.75323909655977,"UP","CCL4"
"TNFSF14",-2.45108289355104,1.93569998208538,112.414734763262,9.67979192629355e-16,1.18293510533925e-12,2.45108289355104,"UP","TNFSF14"
"IL18RAP",-2.17274249786685,2.00853970940689,117.286212554059,1.06542533570143e-15,1.20262469046186e-12,2.17274249786685,"UP","IL18RAP"
"CD180",-2.10449666484975,2.34398051507567,140.688289070424,1.11530302426772e-15,1.20262469046186e-12,2.10449666484975,"UP","CD180"
"FCGR1BP",-2.17759070170143,1.97604076726942,114.199923813314,1.37984162212423e-15,1.40521537639773e-12,2.17759070170143,"UP","FCGR1BP"
"FCGR3B",-2.32391397561362,2.09007625238971,115.480444347829,1.73616762428973e-15,1.67503624846605e-12,2.32391397561362,"UP","FCGR3B"
"GPR141",-2.10440259614458,1.66941428979471,108.558833896243,1.85926274114915e-15,1.70410726540025e-12,2.10440259614458,"UP","GPR141"
"C10orf105",-2.15596776212346,1.82947406489609,107.110749364336,2.28904052061063e-15,1.99811437063398e-12,2.15596776212346,"UP","C10orf105"
"CD300A",-2.180668015712,2.82673082253675,162.665168994853,2.5531881316732e-15,2.10939262524693e-12,2.180668015712,"UP","CD300A"
"THEMIS",-2.70913232395815,1.88248019849061,109.336979147935,2.64666577822701e-15,2.10939262524693e-12,2.70913232395815,"UP","THEMIS"
"EOMES",-2.63906526810809,2.18953310373313,110.831917986731,2.93023267743136e-15,2.23808730041642e-12,2.63906526810809,"UP","EOMES"
"SH2D1A",-2.46770943203811,1.97687199152699,105.152988214514,4.14805149964069e-15,2.96118848098825e-12,2.46770943203811,"UP","SH2D1A"
"SLAMF7",-3.13062302245803,3.7053402671635,168.048124957705,4.20003821426516e-15,2.96118848098825e-12,3.13062302245803,"UP","SLAMF7"
"EGR2",-2.1900137509803,1.9536849093475,106.612680521053,4.48050839375003e-15,3.04193330984562e-12,2.1900137509803,"UP","EGR2"
"F13A1",-1.59717119439676,6.30002691902975,179.577540902273,5.65574549087875e-15,3.64043894446577e-12,1.59717119439676,"UP","F13A1"
"TMEM154",-2.18912423755246,2.04263227802987,108.754601937194,5.8506720048864e-15,3.64043894446577e-12,2.18912423755246,"UP","TMEM154"
"CD160",-1.57966714903123,1.72060724381381,102.121517754199,5.95784017969414e-15,3.64043894446577e-12,1.57966714903123,"UP","CD160"
"CD300C",-1.55317094446754,1.57689515861044,96.4808436068672,9.15528342175538e-15,5.41372581949026e-12,1.55317094446754,"UP",NA
"CRTAM",-2.70630610263635,1.70881348087301,114.118962839874,9.59614911390671e-15,5.49709404396949e-12,2.70630610263635,"UP",NA
"IGSF6",-2.06766966272106,3.2017859283901,165.350535841447,1.093934900279e-14,6.07664262333769e-12,2.06766966272106,"UP",NA
"GZMH",-2.10795863038773,1.81023980786485,98.5875792876165,1.16809383075902e-14,6.29774353283637e-12,2.10795863038773,"UP",NA
"KLRB1",-2.38727432304767,2.42159816017905,118.481155216025,1.30437910483994e-14,6.83159239166313e-12,2.38727432304767,"UP","KLRB1"
"SH2D1B",-2.35775620643317,1.78893154070938,96.4786812358826,2.09012773704022e-14,1.06428143188012e-11,2.35775620643317,"UP",NA
"NCF1C",-1.90436452594642,2.35505198879834,124.082612501305,2.27548488471926e-14,1.1273490113997e-11,1.90436452594642,"UP",NA
"APOL6",-1.59075235208242,5.89295731252914,160.501050359936,2.74692354858739e-14,1.32510146234619e-11,1.59075235208242,"UP",NA
"FASLG",-2.23075984864042,1.5426703689911,102.23579122607,4.55180263487134e-14,2.1394639512776e-11,2.23075984864042,"UP",NA
