"","Probe Set ID","Rank"
"1","MIR155HG",15.9049796115446
"2","TBX21",12.9152994922466
"3","FPR1",12.8615116143101
"4","CCL3",12.8615116143101
"5","LYPD5",12.8615116143101
"6","CLEC12A",12.8142409263877
"7","CD244",12.5928457089202
"8","PYHIN1",12.494932878986
"9","SH2D2A",12.4509464078981
"10","FCRL6",12.4490306091793
"11","IL12RB1",12.1414911156751
"12","CXCR2P1",12.1028629761371
"13","TLR8",12.1028629761371
"14","CCL4",12.0457533959134
"15","TNFSF14",11.9270390796883
"16","IL18RAP",11.9198698841249
"17","CD180",11.9198698841249
"18","FCGR1BP",11.8522571066397
"19","FCGR3B",11.7759757902161
"20","GPR141",11.7685030719489
"21","C10orf105",11.6993796566938
"22","CD300A",11.6758425766815
"23","THEMIS",11.6758425766815
"24","EOMES",11.6501229770795
"25","SH2D1A",11.5285339486904
"26","SLAMF7",11.5285339486904
"27","EGR2",11.5168503114808
"28","F13A1",11.4388462483108
"29","TMEM154",11.4388462483108
"30","CD160",11.4388462483108
"31","CD300C",11.2665037430424
"32","CRTAM",11.2598668330856
"33","IGSF6",11.2163363044255
"34","GZMH",11.2008150294
"35","KLRB1",11.1654780538138
"36","SH2D1B",10.9729435147562
"37","NCF1C",10.9479416116735
"38","APOL6",10.877750866746
"39","FASLG",10.6696950267277
"40","GBP5",10.6374213672025
"41","CALHM6",10.6374213672025
"42","IRF1",10.6217783174847
"43","PTPN22",10.6217783174847
"44","AIM2",10.6217550471589
"45","FCGR1CP",10.6091232289911
"46","NCF1B",10.5804014253206
"47","DAPP1",10.553769277166
"48","SLAMF1",10.5052917522617
"49","LOC606724",10.5052917522617
"50","WARS1",10.5052917522617
"51","FCRL3",10.5052917522617
"52","CTSS",10.4806860479987
"53","DHRS9",10.476914018164
"54","GRAP2",10.4752644432949
"55","TNF",10.4499823169532
"56","NR4A3",10.4499823169532
"57","CD8B",10.4499823169532
"58","TASL",10.4499823169532
"59","TNFRSF9",10.4499823169532
"60","CYSLTR1",10.4146914435877
"61","ZBP1",10.4146914435877
"62","CEACAM21",10.4146914435877
"63","CXCL11",10.4146914435877
"64","GBP1P1",10.3993939952419
"65","CD300LF",10.3623108109673
"66","HLA-DRA",10.2983732473305
"67","SIGLEC10",10.2134244530356
"68","GFI1",10.2066563346841
"69","GBP1",10.1967328190411
"70","LAX1",10.1967328190411
"71","CGAS",10.1841970306322
"72","CD3G",10.1347914677648
"73","PATL2",10.1066262250031
"74","KLRK1",10.0870670686499
"75","KCNA3",10.0870670686499
"76","RELT",10.0784441583186
"77","IDO1",10.0277486089355
"78","TRDC",9.96269261842913
"79","ST8SIA4",9.92897551863763
"80","FPR3",9.92314129554997
"81","TARP",9.91010828165619
"82","BTK",9.90333576140577
"83","PLEK",9.90333576140577
"84","CCL4L2",9.88482905707433
"85","CASP1",9.87515667649013
"86","CD69",9.85191301742706
"87","CD86",9.84937847749066
"88","TNFAIP8L2",9.82477546688553
"89","KLRC4-KLRK1",9.8228336995757
"90","IL1B",9.80239635087518
"91","THEMIS2",9.76985011351631
"92","PRR11",9.69320632247413
"93","GPR174",9.67805639831009
"94","AATBC",9.67805639831009
"95","BTN3A2",9.66343583547161
"96","C5orf58",9.66163585939458
"97","DOK2",9.64738368811576
"98","TAGAP",9.64125983756787
"99","GBP2",9.61417259120636
"100","HCST",9.61379095010265
"101","FCGR3A",9.54931025128351
"102","LCP2",9.54931025128351
"103","IL21R",9.50645978754284
"104","PRDM1",9.47596622674276
"105","LILRB4",9.47324156890119
"106","RGS18",9.47003372224923
"107","RHOH",9.45762503646307
"108","NCF1",9.45762503646307
"109","RAP2B",9.45762503646307
"110","GPR65",9.43278917162998
"111","CD247",9.41886875387983
"112","MEFV",9.41886875387983
"113","ARL11",9.36814743177065
"114","GPR171",9.35587134170938
"115","NFAM1",9.33765937269446
"116","TRG-AS1",9.3074416622196
"117","VAV1",9.3038847538982
"118","CCL13",9.3038847538982
"119","PRF1",9.30099817947882
"120","MS4A7",9.30099817947882
"121","P2RY10",9.30099817947882
"122","APOBEC3G",9.27425245756884
"123","IL12RB2",9.26583569735285
"124","NKG7",9.23644973504686
"125","PIK3R6",9.21234202696541
"126","FMNL1-AS1",9.21234202696541
"127","B2M",9.20964315994536
"128","PLEKHO2",9.19999178142174
"129","PLAC8",9.19183284446762
"130","PDCD1LG2",9.18340752773079
"131","CST7",9.18340752773079
"132","LY86",9.17937195673909
"133","S1PR5",9.17937195673909
"134","SNX20",9.17366572756987
"135","TNFSF13B",9.16575780631027
"136","STX11",9.16575780631027
"137","EMB",9.15617762501524
"138","CXCR6",9.14166838711576
"139","MIR7847",9.14085477572199
"140","LAPTM5",9.13213240317574
"141","SLAMF6",9.13213240317574
"142","PTAFR",9.13138614107874
"143","FERMT3",9.11935238662857
"144","CD8A",9.11403807864011
"145","LCP1",9.10760938607532
"146","NCKAP1L",9.09836078423124
"147","SCIMP",9.09836078423124
"148","RASGRP4",9.08953773933824
"149","APOL1",9.07267914014675
"150","PCED1B-AS1",9.07267914014675
"151","PVT1",9.06737450912189
"152","GZMM",9.06737450912189
"153","HLA-DMA",9.06013474944719
"154","LILRB1",9.06001320608623
"155","ICAM1",9.04626291695294
"156","LY96",9.01008427312481
"157","POU2F2",9.00894583606801
"158","PSMB9",8.99808294792748
"159","SASH3",8.99194197539997
"160","NOD2",8.99194197539997
"161","BMAL2",8.98883956912623
"162","PTPRN2-AS1",8.98616384107504
"163","ISG20",8.98011653484515
"164","ITGAL",8.97300200531779
"165","MYO1G",8.96569030821357
"166","IL7",8.95260383889951
"167","BCL2A1",8.95258702244664
"168","WIPF1",8.94446595006928
"169","AOAH",8.93129794855586
"170","DOCK2",8.91103379619523
"171","TIFAB",8.91055341497966
"172","SIT1",8.90882017741928
"173","CD96",8.90731543898719
"174","MCUB",8.89881912934619
"175","HCK",8.89257289843216
"176","BTN3A3",8.88535209674757
"177","KLRD1",8.87461898943008
"178","LAIR1",8.87461898943008
"179","CLEC4F",8.87461898943008
"180","CD38",8.87461898943008
"181","PLB1",8.87461898943008
"182","CD274",8.86842731913614
"183","IL2RB",8.85799780963881
"184","ITGB2",8.84831782942887
"185","HLA-DOB",8.84544106399077
"186","MNDA",8.81767752988096
"187","TAP2",8.79434963292819
"188","FAM225A",8.79404014992354
"189","PDCD1",8.78398801568393
"190","MS4A6A",8.76355949723138
"191","RAC2",8.74175292917166
"192","ETV7",8.73450334019098
"193","GZMA",8.72498204873072
"194","GNA15",8.70194312017312
"195","CD4",8.70194312017312
"196","MIR3142HG",8.69802485230842
"197","CD200R1",8.69557350454936
"198","HLA-DPA1",8.68965549853707
"199","HLA-E",8.68089291324923
