NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TLR8	12	12.102863311767578	0.03323594	Yes	
row_1	FCGR1BP	17	11.852256774902344	0.06620831	Yes	
row_2	FCGR3B	18	11.775976181030273	0.099186175	Yes	
row_3	FCGR3A	100	9.549310684204102	0.12149127	Yes	
row_4	IL2RB	182	8.85799789428711	0.14186038	Yes	
row_5	FCER1G	200	8.668496131896973	0.1652047	Yes	
row_6	BATF	203	8.633627891540527	0.18927307	Yes	
row_7	FCGR1A	208	8.597878456115723	0.21313176	Yes	
row_8	CD74	276	8.085564613342285	0.23210463	Yes	
row_9	FCGR2C	334	7.717867851257324	0.2505956	Yes	
row_10	FCGR2A	371	7.514964580535889	0.26966873	Yes	
row_11	C1QC	392	7.313930988311768	0.28905532	Yes	
row_12	IGHD	438	7.06095027923584	0.30636397	Yes	
row_13	C1QB	439	7.06095027923584	0.32613772	Yes	
row_14	CSF2RB	449	6.956080436706543	0.34512475	Yes	
row_15	C1QA	472	6.884768486022949	0.36319998	Yes	
row_16	FCMR	480	6.804710865020752	0.38187268	Yes	
row_17	CD40LG	524	6.595555782318115	0.39798757	Yes	
row_18	IGHV3-21	591	6.388262748718262	0.41226205	Yes	
row_19	IGHV5-51	630	6.199972152709961	0.42754307	Yes	
row_20	IGHV3-11	663	6.060171604156494	0.44276124	Yes	
row_21	IGHV1-2	667	6.049181938171387	0.45953724	Yes	
row_22	FCGR2B	674	6.0404558181762695	0.4761245	Yes	
row_23	CARD9	713	5.8684611320495605	0.49047711	Yes	
row_24	IGHV4-59	731	5.792767524719238	0.5057681	Yes	
row_25	IGHV3-33	742	5.750285625457764	0.5213236	Yes	
row_26	IGHV1-69D	789	5.541976451873779	0.53432375	Yes	
row_27	CCR6	844	5.322004318237305	0.5462696	Yes	
row_28	IGHV3-30	865	5.266363143920898	0.5599221	Yes	
row_29	IGHV3-23	963	4.933809757232666	0.5684253	Yes	
row_30	IGHV3-7	977	4.883306980133057	0.5813886	Yes	
row_31	IGHV1-18	987	4.853163242340088	0.59448653	Yes	
row_32	IGHG4	1048	4.719864368438721	0.60441744	Yes	
row_33	IGHV3-48	1050	4.712488174438477	0.6175597	Yes	
row_34	IGHG3	1093	4.627211570739746	0.62821716	Yes	
row_35	IGHV3-74	1152	4.4849042892456055	0.6375996	Yes	
row_36	C1R	1158	4.469188690185547	0.64984137	Yes	
row_37	IGHV4-34	1177	4.436436653137207	0.6612793	Yes	
row_38	IGHV4-39	1194	4.377521991729736	0.67266184	Yes	
row_39	CD19	1228	4.310536861419678	0.68292546	Yes	
row_40	IGHG2	1272	4.218703269958496	0.6923842	Yes	
row_41	IGKC	1290	4.189626693725586	0.7031857	Yes	
row_42	SLA2	1331	4.096462726593018	0.7124664	Yes	
row_43	IGHG1	1363	4.032596588134766	0.7220613	Yes	
row_44	IGLC1	1401	3.975592613220215	0.7311678	Yes	
row_45	IGLL5	1403	3.969942331314087	0.7422306	Yes	
row_46	EXOSC6	1406	3.956273317337036	0.75320035	Yes	
row_47	IGHV2-5	1516	3.7711832523345947	0.7577903	Yes	
row_48	IGLC3	1569	3.6984522342681885	0.7652991	Yes	
row_49	FCER2	1571	3.697650909423828	0.7755993	Yes	
row_50	IGLC2	1594	3.667435646057129	0.7846646	Yes	
row_51	IGHV4-61	1610	3.6466238498687744	0.79405504	Yes	
row_52	IGHV3-15	1902	3.3248913288116455	0.78742534	Yes	
row_53	IGHA1	1929	3.3085339069366455	0.7952664	Yes	
row_54	FCER1A	1943	3.2975635528564453	0.8037889	Yes	
row_55	IGLC6	1978	3.2709853649139404	0.8110866	Yes	
row_56	HLA-G	1979	3.269975423812866	0.82024395	Yes	
row_57	IGHA2	2327	2.9593124389648438	0.8095228	No	
row_58	SANBR	2931	2.5822110176086426	0.7837221	No	
row_59	IGHV1-46	2951	2.5747694969177246	0.7898917	No	
row_60	EXOSC3	3233	2.43825364112854	0.7813269	No	
row_61	PCYT1A	3357	2.3871586322784424	0.7812741	No	
row_62	CD27	3376	2.376817226409912	0.78694415	No	
row_63	RNF168	3641	2.2741172313690186	0.7788509	No	
row_64	MSH6	4310	2.004774808883667	0.7478724	No	
row_65	LIG4	4637	1.8980004787445068	0.7353295	No	
row_66	MSH2	5258	1.7029155492782593	0.70613515	No	
row_67	SHLD3	5843	1.5528721809387207	0.6784926	No	
row_68	RNF8	8605	0.8932862877845764	0.52974796	No	
row_69	CD81	12033	0.26232606172561646	0.34275323	No	
row_70	ZP3	12533	0.18808449804782867	0.31594497	No	
row_71	SHLD1	12933	0.12284504622220993	0.29443195	No	
row_72	SHLD2	13148	0.09636600315570831	0.282979	No	
row_73	FCRLB	13733	0.022127263247966766	0.25104973	No	
row_74	MAD2L2	14651	-0.09134954959154129	0.20107274	No	
row_75	HSPD1	14982	-0.1450796276330948	0.1834018	No	
