NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C1QC	392	7.313930988311768	0.005887866	Yes	
row_1	IGKV1D-39	393	7.307272434234619	0.033199742	Yes	
row_2	C1QB	439	7.06095027923584	0.05712871	Yes	
row_3	IGKV1-39	443	7.001875400543213	0.08313497	Yes	
row_4	C1QA	472	6.884768486022949	0.10733562	Yes	
row_5	IGKV1-33	561	6.465994834899902	0.12668805	Yes	
row_6	IGKV3-15	562	6.464252948760986	0.15084903	Yes	
row_7	IGLV1-47	614	6.271987438201904	0.17150085	Yes	
row_8	IGLV3-21	635	6.164523601531982	0.19344722	Yes	
row_9	IGHV3-11	663	6.060171604156494	0.21462055	Yes	
row_10	IGHV1-2	667	6.049181938171387	0.237066	Yes	
row_11	IGHV4-59	731	5.792767524719238	0.25527006	Yes	
row_12	IGHV3-33	742	5.750285625457764	0.27621534	Yes	
row_13	IGLV1-44	743	5.747685432434082	0.29769805	Yes	
row_14	C1S	764	5.670397758483887	0.31779757	Yes	
row_15	IGLV2-11	785	5.591971397399902	0.33760396	Yes	
row_16	IGLV2-8	803	5.470800876617432	0.3571216	Yes	
row_17	IGKV1D-33	806	5.459993362426758	0.3774196	Yes	
row_18	IGKV3D-20	820	5.389137268066406	0.39685088	Yes	
row_19	IGHV3-30	865	5.266363143920898	0.41412705	Yes	
row_20	IGLV3-19	888	5.156337261199951	0.43219578	Yes	
row_21	IGLV1-40	937	4.991975784301758	0.44822752	Yes	
row_22	IGHV3-23	963	4.933809757232666	0.46530035	Yes	
row_23	IGKV1-12	973	4.904511451721191	0.48313916	Yes	
row_24	IGHV3-7	977	4.883306980133057	0.501227	Yes	
row_25	IGKV3-11	984	4.865407466888428	0.5190838	Yes	
row_26	IGHG4	1048	4.719864368438721	0.53327775	Yes	
row_27	IGHV3-48	1050	4.712488174438477	0.55083656	Yes	
row_28	IGLV3-1	1070	4.683426380157471	0.56730187	Yes	
row_29	IGKV4-1	1091	4.629783630371094	0.58351195	Yes	
row_30	IGHG3	1093	4.627211570739746	0.60075206	Yes	
row_31	IGKV2D-28	1105	4.593753814697266	0.6173199	Yes	
row_32	IGKV3-20	1117	4.5576090812683105	0.63375264	Yes	
row_33	IGKV2-28	1135	4.526049613952637	0.64973915	Yes	
row_34	IGKV2-30	1137	4.522315979003906	0.6665872	Yes	
row_35	C1R	1158	4.469188690185547	0.68219703	Yes	
row_36	IGHV4-34	1177	4.436436653137207	0.6977939	Yes	
row_37	IGHV4-39	1194	4.377521991729736	0.71327996	Yes	
row_38	IGLV2-14	1247	4.27230978012085	0.72640306	Yes	
row_39	IGHG2	1272	4.218703269958496	0.7408578	Yes	
row_40	IGKC	1290	4.189626693725586	0.75558686	Yes	
row_41	IGKV1-17	1345	4.069443225860596	0.76784223	Yes	
row_42	IGHG1	1363	4.032596588134766	0.7819844	Yes	
row_43	IGLC1	1401	3.975592613220215	0.7948192	Yes	
row_44	IGHV2-5	1516	3.7711832523345947	0.8026768	Yes	
row_45	IGLV2-23	1523	3.7588534355163574	0.81639767	Yes	
row_46	IGLC3	1569	3.6984522342681885	0.8277589	Yes	
row_47	IGLC2	1594	3.667435646057129	0.8401532	Yes	
row_48	IGKV1-5	1614	3.6425652503967285	0.8527281	Yes	
row_49	IGKV2D-30	1916	3.3148016929626465	0.84864795	Yes	
row_50	IGLV3-25	1917	3.3148016929626465	0.86103743	Yes	
row_51	IGLC6	1978	3.2709853649139404	0.8699802	Yes	
row_52	IGHV1-46	2951	2.5747694969177246	0.82641923	No	
row_53	IGLV6-57	4088	2.0861012935638428	0.77205825	No	
row_54	IGLV1-51	4561	1.9157909154891968	0.7533926	No	
